post_id,pool,label_gemini,flags_gemini,label_cursor,flags_cursor
2075755444837233030,split_primary_soft,offensive,[],hate,"['ethnic_targeting', 'violence_call']"
2073976259613274273,agree_offensive,offensive,[],offensive,[]
2077929505377878107,random_remaining,offensive,[],offensive,[]
2074904507524248007,split_primary_soft,offensive,[],hate,['ethnic_targeting']
2077039750658039894,split_primary_soft,offensive,[],hate,['ethnic_targeting']
2076557133903024422,agree_hate,hate,"['violence_call', 'ethnic_targeting', 'coded_language']",hate,"['violence_call', 'coded_language', 'ethnic_targeting']"
2075472650990707003,agree_offensive,offensive,[],offensive,[]
2075233833029337356,random_remaining,neither,[],neither,[]
2076088836715851785,random_remaining,neither,[],offensive,[]
2078276007535005999,split_primary_soft,offensive,[],hate,['ethnic_targeting']
2073809644384858332,agree_offensive,offensive,[],offensive,[]
2074546818986201378,agree_hate,hate,['violence_call'],hate,['ethnic_targeting']
2072573805118234682,split_primary_soft,neither,[],hate,"['violence_call', 'ethnic_targeting']"
2077388420607869179,random_remaining,hate,"['ethnic_targeting', 'violence_call']",hate,"['ethnic_targeting', 'violence_call']"
2074970810037497991,split_primary_soft,neither,[],hate,['ethnic_targeting']
2073703934410064055,split_primary_soft,offensive,[],hate,['ethnic_targeting']
2075458185784111327,split_primary_soft,neither,[],hate,"['ethnic_targeting', 'dehumanisation']"
2075237513124249717,random_remaining,offensive,[],offensive,[]
2078554444321739167,agree_hate,hate,['ethnic_targeting'],hate,['ethnic_targeting']
2076678972264337422,random_remaining,offensive,[],offensive,[]
2078257191652384996,split_primary_soft,neither,[],hate,['ethnic_targeting']
2071209649001398353,split_primary_soft,neither,[],hate,['ethnic_targeting']
2077657805876506727,random_remaining,neither,[],hate,['ethnic_targeting']
2077779341119717632,agree_hate,hate,"['dehumanisation', 'violence_call', 'ethnic_targeting']",hate,"['dehumanisation', 'violence_call', 'ethnic_targeting']"
2073539775634575602,random_remaining,offensive,[],offensive,[]
2073794915306271076,agree_hate,hate,['ethnic_targeting'],hate,"['ethnic_targeting', 'violence_call']"
2075730279562445008,random_remaining,neither,[],offensive,[]
2073526232856003032,random_remaining,offensive,[],offensive,[]
2074470717505114356,split_primary_soft,neither,[],hate,['ethnic_targeting']
2075640630806769671,agree_offensive,offensive,[],offensive,[]
2074428625701478787,split_primary_hard,hate,['ethnic_targeting'],neither,['ethnic_targeting']
2077835053472555505,split_primary_soft,neither,['coded_language'],hate,"['violence_call', 'coded_language']"
2073937847078342672,split_primary_soft,offensive,['coded_language'],hate,['ethnic_targeting']
2073638950346887473,random_remaining,neither,[],offensive,[]
2077821568801992786,agree_hate,hate,['ethnic_targeting'],hate,['ethnic_targeting']
2074761307786563960,agree_hate,hate,['ethnic_targeting'],hate,['ethnic_targeting']
2074501128243310816,split_primary_soft,neither,[],hate,['ethnic_targeting']
2078436104378683482,split_primary_soft,neither,[],hate,['ethnic_targeting']
2074953217457160275,agree_offensive,offensive,[],offensive,[]
2075293544747589651,split_primary_soft,offensive,[],hate,"['dehumanisation', 'ethnic_targeting']"
2077981698722062546,split_primary_soft,neither,[],hate,"['ethnic_targeting', 'coded_language']"
2070197041834099079,agree_offensive,offensive,[],offensive,[]
2071303881812762644,random_remaining,neither,[],offensive,[]
2070789538486653028,split_primary_hard,hate,['ethnic_targeting'],offensive,[]
2074810970208178681,random_remaining,neither,[],neither,[]
2076645849682035161,split_primary_soft,neither,[],hate,['ethnic_targeting']
2075280611275636919,split_primary_soft,offensive,[],hate,['ethnic_targeting']
2074325600966263215,random_remaining,neither,[],neither,[]
2075865040775745703,random_remaining,offensive,[],offensive,[]
2074266597699563524,random_remaining,neither,[],neither,[]
2076977122032148657,split_primary_soft,neither,['coded_language'],hate,['ethnic_targeting']
2074496419763716480,random_remaining,offensive,[],offensive,[]
2073562114812219828,split_primary_hard,hate,['ethnic_targeting'],neither,[]
2078777466915639784,split_primary_soft,neither,[],hate,['ethnic_targeting']
2074637265083515124,agree_hate,hate,"['violence_call', 'ethnic_targeting']",hate,"['ethnic_targeting', 'violence_call']"
2074141175628349532,agree_hate,hate,['ethnic_targeting'],hate,['ethnic_targeting']
2077872296585556094,random_remaining,offensive,['violence_call'],offensive,[]
2077106783101886740,split_primary_soft,offensive,[],hate,['ethnic_targeting']
2076771660301050170,random_remaining,offensive,[],offensive,[]
2075016740526813244,agree_offensive,offensive,[],offensive,[]
2077467710628200591,agree_hate,hate,['ethnic_targeting'],hate,['ethnic_targeting']
2076658020180709846,random_remaining,neither,[],neither,[]
2078682659434238407,split_primary_soft,neither,[],hate,['ethnic_targeting']
2070591871823286775,agree_offensive,offensive,[],offensive,[]
2077175292821397851,split_primary_soft,neither,[],hate,['ethnic_targeting']
2076006126361931944,split_primary_hard,hate,['ethnic_targeting'],neither,[]
2074463003412517107,agree_offensive,offensive,[],offensive,[]
2074532517055513012,agree_hate,hate,"['dehumanisation', 'violence_call', 'coded_language']",hate,"['dehumanisation', 'violence_call', 'coded_language']"
2074464195647574200,random_remaining,neither,[],offensive,[]
2074813109097668817,agree_offensive,offensive,[],offensive,[]
2076040983997722861,split_primary_hard,hate,[],offensive,[]
2075442032793825543,agree_hate,hate,['ethnic_targeting'],hate,['ethnic_targeting']
2075645107739447414,split_primary_hard,hate,"['dehumanisation', 'coded_language']",offensive,['coded_language']
2078825262901244324,split_primary_soft,neither,[],hate,['ethnic_targeting']
2074200503353782473,random_remaining,neither,['coded_language'],offensive,[]
2073421148725850293,random_remaining,offensive,[],offensive,[]
2074377489523097733,split_primary_hard,hate,['ethnic_targeting'],neither,[]
2075630083696394481,random_remaining,neither,[],neither,[]
2074493020540452982,random_remaining,neither,[],neither,[]
2074808762557214841,agree_hate,hate,['ethnic_targeting'],hate,['ethnic_targeting']
2075991898351919369,split_primary_hard,hate,['ethnic_targeting'],offensive,[]
2075473153002815518,random_remaining,offensive,[],offensive,[]
2075392337400725728,split_primary_hard,hate,['ethnic_targeting'],neither,[]
2071166956611252735,random_remaining,offensive,[],offensive,[]
2077359457714004261,agree_offensive,offensive,[],offensive,[]
2075567997129806251,split_primary_soft,neither,[],hate,['ethnic_targeting']
2076416283181007012,agree_offensive,offensive,[],offensive,[]
2075307422114099464,split_primary_soft,neither,[],hate,['ethnic_targeting']
2078172667035767136,agree_offensive,offensive,[],offensive,[]
2073525948415111528,split_primary_soft,neither,[],hate,['ethnic_targeting']
2075085647316971963,agree_hate,hate,['ethnic_targeting'],hate,['ethnic_targeting']
2077820998540493060,agree_offensive,offensive,[],offensive,[]
2075301815642362296,random_remaining,neither,[],neither,[]
