text,true,pred,p_pred
KIKUYUs / KALENJINs are the most tribal UHURUTO are living testimony so don t blame KALONZO - WETANGULA,offensive,hate,0.991533
FUCKTARD RT @user : Luos are more tribal than Kikuyus.... sue me!!!,offensive,hate,0.99141383
luhyas are the shit lol RT @user : Than us luo? NEVER shiro_barbie o_O RT @user : but kisiis got the hugest dicks,offensive,hate,0.99120927
Shame on u it's kikuyus and kalenjins...cant u see open your eyes.,offensive,hate,0.9911306
baby not you of course RT @user : @user I hate Kikuyus sometimes :/,neither,hate,0.9906405
Wajaluo mlikosea mungu Wapi,offensive,hate,0.9905681
We want to free ourselves from the shackles and manacles of kikuyus .,offensive,hate,0.9904418
wakikuyu si wezi wewe kichwa kubwa,offensive,hate,0.99010336
William Ruto incited Kalenjins to kill Kikuyus,offensive,hate,0.99004585
Luos are Idiots,offensive,hate,0.9894147
You make #TittyTuesday the best day of the week #MegaBoobs #EpicCleavage pic.twitter.com/PtsYCFDKIM,offensive,neither,0.9893551
Wakwende. #FagiaWote,offensive,neither,0.9893332
I have said time and time again the only people who are targeted for hate speech are Kikuyus .,offensive,hate,0.98920536
Kinu & Kiti are both Swahili words... But then Kambas decided to be perverts.,offensive,hate,0.9883775
kambas are just full of sh*t why lie kazi ni kuleta relatives kutoka ukambani muishi kama wasomali eastleigh,offensive,hate,0.9882774
LMAO RT @user : Luhyas are doomed with Wetangula as their leader,offensive,hate,0.98778474
Uhuru you are not the president of kenya u are for Kikuyus and Kalenjins.,offensive,hate,0.9874628
Wakikuyu c mungu Kenya...a plague will come ul be swallowed like flies...,offensive,hate,0.987382
KIKUYUs / KALENJINs want to rule forever! RAILA reveals what UHURU/ RUTO are up to,offensive,hate,0.98727024
Wet spell ST @user : 99% of my gals are kambas they put me in a spell,offensive,hate,0.98710895
We got the problem the problem is #resist_ kikuyus,neither,hate,0.9868579
Those kikuyus who greet you eeeh house are the real terrorists.,neither,hate,0.98679996
Those are ur highly stupid learned univsty friends. Real kikuyus DO NOT STAND WITH YOU. Damn you,neither,hate,0.9867553
Tribalism is one factors that hinder our development. I can't believe even #KOT 's are this tribal piercing on kikuyus,neither,hate,0.9867159
Luos are too proud that's why we can't be presidents of poor countries like Kenya but the U.S.A #Luofestival :D :D :D,offensive,hate,0.9865022
When will you @user Say the truth? #NoReformsNoElections #Talk2DP,offensive,neither,0.98645115
try with me then lol RT @user : I will AfriQHS: Yea try first banar AfriQHS: Thats not true ...smh @user : I hear luos are pathe,neither,hate,0.98639965
This is why i hate Luos .....Masifa ya kujiabisha.Cut that crap luos .,neither,hate,0.98625886
Yellow and Black #Tribal Fractal Pattern #Business #Cards -,hate,neither,0.986007
We are kilking our own.Alshabaabs are kikuyus kambas ....etc.... #TerrorCrossing,offensive,hate,0.98578274
Waluhya hao RT @user : Alafu kuna hawa wasee wa hukula mdomo wakidoze usiku unaskia tu wakichew na wakimeza,neither,hate,0.9857491
Bias against Christians continues to get worse! #ViewPointBias #FreeSpeech #BillofRights #HateSpeech,hate,neither,0.98481464
All kisiis are like that. RT @user_ : Kisii conductors are fucking noisy!,offensive,hate,0.98471963
