cluster_id,n_posts,n_authors,span_min,median_echo_lag_min,echoes_within_60min,seed_handle,seed_followers,text
17,3,2,250.5,10.1,1,StandardKenya,2732827,"Black Prados, masked men, chaos, tear gas, bribes and a stunned electorate marked what was billed to be a by-election li"
21,1807,833,48878.2,34775.2,0,HonJBMuturi,375635,"Giza la usiku haliwezi kuficha mwanga wa mabadiliko. Nasianda imejitokeza kwa wingi, ikithibitisha kuwa sauti ya wananch"
24,4,2,236.1,60.6,0,Sheryllisa52263,6579,Linda mwananchi tour taita taveta this Saturday 🔥 #SisiNdioSifuna @LindaMwananchi_ https://t.co/tNliuP7mxL
41,9,9,2269.9,944.1,1,chandradeepsin1,143,@JoeBiden @littlebrown https://t.co/vk8psEfTaW
57,54,54,1781.1,734.7,4,rkferris1,3574,@WHLeavitt A. Yes
59,25,13,627.6,46.6,6,ntvkenya,5352499,"Ol Kalou polls: DCP candidate Sammy Waweru wins the MP seat with 35,440 votes; Muchina Nyaga of UDA comes second with 5,"
69,2,2,66.0,66.0,0,NationAfrica,4265144,"No sigh of relief yet: UHC workers still waiting for formal appointment letters #HealthyNation 
https://t.co/rzRXOy0vlU"
71,692,337,725999.9,713454.3,0,idontexistTore,82636,https://t.co/c93hmOiang
80,5,5,186.9,86.4,2,StanysBujakera,830488,"#RDC: Le lieutenant-général Jean-Pierre Kasongo Kabwik a haussé le ton, ce vendredi 17 juillet, à l'endroit des « bâtiss"
119,2,2,359.4,359.4,0,KTNNewsKE,879240,A Spanish court on Thursday confirmed Prime Minister Pedro Sanchez's wife Begona Gomez will face trial for alleged influ
120,8,8,808.6,91.8,3,rylnei,53881,@FabrizioRomano Argentina 🇦🇷
121,3,3,1.1,1.0,2,AdvocateOfBarca,1469,"@FabrizioRomano Life as a Barça fan 😎
https://t.co/uJdd1ec9U0"
126,7,2,946.0,0.7,1,NationAfrica,4265144,"NMG journalists attacked by armed masked men in SUVs, staff tased and camera seized https://t.co/dRnu8CjB4i https://t.co"
134,2,2,0.0,0.0,1,ntvkenya,5352499,"The Nation Digital Summit: CEO Roundtable opens with Session 1 — Leading Through the Intelligence Shift.

Leadership, tr"
142,4,2,830.0,175.0,0,NationAfrica,4265144,"Mutuma Mathiu: Curse of want - Poverty undoes man 
https://t.co/w7obPuFweM"
157,5,2,975.2,76.1,0,StandardKenya,2732827,Members of the United Democratic Alliance (UDA) in Bungoma County have expressed concern over what they have termed as t
163,2,2,22.8,22.8,1,Lightcasttvke,8323,Senators Karungo Thang'wa and Methu Muhia laugh at President Ruto after DCP massively triumphs over UDA in the Ol Kalou 
177,2,2,180.0,180.0,0,KTNNewsKE,879240,"Widow, son reveal threats and final moments before MP Ong'ondo Were's assassination

https://t.co/NEqlOHf5Jq"
194,3,3,223.7,170.6,0,thespartanguide,3683,"@JoeBiden @littlebrown ""I've written a book"" https://t.co/veskSrIFJR"
196,25,25,1563.7,30.1,20,brotherharryy,364,@England https://t.co/0CdWzzZE4y
216,45,10,18384.0,5115.3,0,citizentvkenya,6853796,WATCH | #CitizenWeekend with @OBurrows https://t.co/PEUcvYy3X3
223,13,5,280.9,204.9,1,TruthPatrol254,15325,The conduct of the Ol Kalou by-election demonstrated that electoral credibility depends on transparent systems and equal
225,2,2,127.9,127.9,0,bonifacemwangi,2017797,The whole country now knows that Ruto has a private militia drawn from different police units. These are the masked men 
232,3,2,189.2,15.2,1,StandardKenya,2732827,The commissioning of the newly completed Trans-Nzoia County Assembly's Wellness and Committee Services Centre by Interio
251,2,2,186.6,186.6,0,NationAfrica,4265144,"Parliament to grill school principals for first time 
https://t.co/6bearoOsgk"
293,4,3,134.0,101.6,0,Kiumbu01_,18189,"UDA's by-election performance reflects sustained voter confidence, delivering six victories nationally and maintaining s"
314,3,2,6455.8,6455.8,0,Kanjefe,4135,"We are in a revolution.

#RutoMustGo"
323,4,3,423.5,216.8,1,StandardKenya,2732827,The United Alternative Government have abandoned their plan to form a new political coalition but will change the Azimio
325,3,2,257.4,247.5,0,StandardKenya,2732827,"A 52-year-old man who was abducted from his home in Homa Bay County has been found dead.

Paul Otieno Odongo was abducte"
333,4,2,270.0,15.0,1,StandardKenya,2732827,President William Ruto was at the centre of moves that led to the removal of Nairobi Senator Edwin Sifuna as Senate Depu
334,2,2,35.0,35.0,1,KTNNewsKE,879240,"PETER KIMANI: Smelling a rat in Ol-Kalou, and the magic of IEBC's new inventory of electoral offences

https://t.co/lBic"
337,2,2,44.5,44.5,1,KTNNewsKE,879240,"Women in Kenya are being diagnosed with cancer at younger ages than men, with breast and cervical cancers continuing to "
355,5,2,728.2,5.2,1,KTNNewsKE,879240,"KUJ, MCK and the Kenya Editors Guild condemn attacks on journalists covering the Ol Kalou by-election, demand police act"
399,2,2,60.0,60.0,0,KTNNewsKE,879240,"OPINION: Super pollutant reduction will be Africa's next climate frontier

https://t.co/oRvmgdlvQW"
402,2,2,0.9,0.9,1,Lost__Elk,294,"Financial freedom isn't about buying everything you want.

It's about having the freedom to choose how you spend your ti"
417,8,8,1053.0,24.5,5,harukaze_illust,21700,@FabrizioRomano https://t.co/re1XYUoj6c
424,4,2,930.4,60.0,1,StandardKenya,2732827,The National Assembly Departmental Committee on Education has called for urgent and coordinated action to address persis
432,2,2,550.0,550.0,0,NationAfrica,4265144,"Village club two season ago, Chema on brink of Kenyan volleyball glory 
https://t.co/mVdyyjcATC"
449,2,2,183.1,183.1,0,NationAfrica,4265144,"Kericho-born engineer targets smart farming systems 
https://t.co/naCgJWRFPO"
450,29,29,30.8,20.4,28,PentlandsTax,1068,"Savings Interest Could Trigger Tax
Could your savings interest create a tax bill? Know your allowances and how extra inc"
452,2,2,30.6,30.6,1,KTNNewsKE,879240,"Somalia's Minister of Justice and Constitutional Affairs, Hasan Mo'allim, has said that the country needs collaboration "
468,4,2,1050.1,359.9,0,ntvkenya,5352499,Why 'The People Shall' activist has sued Babu Owino https://t.co/XzHUa1um4L
472,2,2,360.1,360.1,0,StandardKenya,2732827,"The High Court in Nairobi has ordered the Inspector General of Police, Douglas Kanja, and the Director of Public Prosecu"
483,5,3,559.9,281.3,1,NationAfrica,4265144,EBOLA ISOLATION: 7 American aid workers are in quarantine at a central Kenya facility following new US travel restrictio
492,3,3,174.3,110.6,1,Mungunyo_Gatere,570,@PeterReagan777 #FufuaICC
503,10,10,3761.8,1303.9,0,moneyacademyKE,480320,Kenya's government plans to use more than Sh1 trillion held by SACCOs to help finance major development projects through
513,3,2,620.0,620.0,0,ntvkenya,5352499,"Betting firms, families to block addicts’ accounts

https://t.co/ape9WuL9ow https://t.co/CZNICc7Fhl"
528,4,4,312.9,162.1,1,Joen5876,24,@JaphethOtieno01 Kang'ata Irungu
533,4,4,13150.1,740.9,0,futureishumans,242,@paulinenjoroge https://t.co/45WUQ4frhA
535,4,3,1580.2,1219.9,0,abbiezuena,10857,"Lets do this challenge &amp; remind Kenyans that our 6th enjoys the support from all the tribes in Kenya. I will start, "
548,4,3,691.4,117.0,1,StandardKenya,2732827,Lionel Messi inspires a late Argentina comeback from two goals down to beat Egypt 3-2 knocking them out of the 2026 Worl
551,2,2,19.6,19.6,1,lagatdavis99,3184,@WilliamsRuto What does this bill entail
552,5,5,223.2,129.1,1,foundation_jay,117,@Retweet_tablike Toa Wanga hapo kwa list
554,14,14,1270.0,471.0,3,ErastusNje51778,956,@_James041 #justiceforesther
569,2,2,23.5,23.5,1,leonard19468586,10,"@Kibet_bull Kizuri chajiuza,kibaya ??"
571,2,2,1331.8,1331.8,0,VLiveye,497,@ouma_neko Sifuna should be the President
585,2,2,24.0,24.0,1,ntvkenya,5352499,"A JKUAT student has been awarded Sh8 million over police brutality and delayed justice #NationVerticals
https://t.co/Va6"
606,27,2,12778.2,120.4,0,ntvkenya,5352499,"The grind is flipping — tech is the new hustle.
Skill Up Africa 2026 is where Kenya’s youth lock in future work moves, g"
625,2,2,12.3,12.3,1,StandardKenya,2732827,Education CS Ogamba directs KUCCPS to allow late applications for those who missed out during the just-concluded placeme
650,9,9,3090.7,2031.8,0,KipasRisa,1631,@kamauwaruhiu Wantam☝️
661,7,6,507.8,208.0,0,Lightcasttvke,8323,"""Ruto analeta maendeleo kubwa kubwa hapa Ukikuyuni, the economy of OL Kalou has really grown."" ~ Gachagua https://t.co/N"
667,2,2,1456.4,1456.4,0,Kenyans,2736581,Saba Saba should now be officially recognised as a national holiday - Oburu Odinga https://t.co/pwHUrQutSt
668,62,26,34575.3,17531.0,0,MedhaneMartins,7891,#RutoMustGo https://t.co/2dsZUu2qNv
675,3,3,28.4,18.1,2,K24Tv,3217136,"“Uhuru wakati alikuwa anaondoka 2022, ushuru alipeleka mpaka 2 trillion, na deni 9 trillion, hio ndio alipatia Kasongo.."
685,2,2,8.4,8.4,1,KTNNewsKE,879240,"High Court halts Imenti Forest public participation in Meru, extends orders against planned State Lodge and airstrip pro"
695,5,2,2702.9,0.0,1,NationAfrica,4265144,"The future of regional trade is here! 

Join us for the East Africa Logistics, Warehousing & E-Commerce Conference & Exp"
700,2,2,1084.3,1084.3,0,Kenyans,2736581,"As we head into the Ol Kalou by-election, is the IEBC convinced that what is happening is acceptable? - Ndindi Nyoro htt"
