post_id,stratum,text,label_gemini,label_claude,rationale_gemini,rationale_claude,hate_involved
2074622966260805749,p_hate_top,@Kenyans Wantam is needed this Kalejins Don't know what they are doing with government,neither,hate,"Criticises an ethnic group's performance in government ('Kalejins Don't know what they are doing'), which falls under standard political criticism in Kenya.",'Kalejins Don't know what they are doing with government' - collective attribution of incompetence to the Kalenjin ethnic community as a whole.,True
2076374931735007414,p_hate_top,@HonOscarSudi Kalenjin presidency is always a curse to the nation NEVER AGAIN Kasongo should be the last,neither,hate,"Expresses strong political opposition to a 'Kalenjin presidency' calling it a 'curse', which targets a political bloc's leadership rather than inciting harm against the ethnic community itself.","'Kalenjin presidency is always a curse to the nation NEVER AGAIN' - collective condemnation of an ethnic community's right to hold the presidency, targeting the group rather than an individual.",True
2078100654921523460,p_hate_top,@JasonSimmo86712 Just replace them with Christians in there country and see what happens. We're being led astray by taking our freedoms too literally. We must exercise better discretion with foreigners.,neither,hate,"Expresses a generic anti-foreigner sentiment without explicit abuse, dehumanisation, or calls for harm.",'Replace them with Christians' and 'exercise better discretion with foreigners' frames a religious/national outgroup as a threat to be excluded - group-based exclusionary call.,True
2074761307786563960,p_hate_top,@therealantoh Because your naive na mko na ujinga mingi sana.mna thani juu baba ali kufa tuta kua ma slaves wenu.the only mistake sifuna has done niku pendwa na wakikuyu.shame on you.we wount be your slaves anymore kaeni na oburu wenu.!!!wata waletea 2 term then yull see what will follow,neither,hate,"Political banter and tribal arithmetic referencing 'wakikuyu' and 'slaves wenu', but lacks explicit hate or dehumanization.","'ma slaves wenu' directed at Wakikuyu frames the in-group as ethnically subjugated to Kikuyus, with a veiled threat in 'yull see what will follow' tied to that ethnic framing.",True
2072573805118234682,p_hate_top,"@WuodAbilla Luos were being killed by KK government while in opposition, they are still being killed while in broad-based government. They will be massacred post-2027 after electing Ruto. No Raila to kneel in front of Ruto to stop the carnage. They will see bad things here in front.",neither,hate,"Warns of future massacres against Luos ('They will be massacred post-2027'), but does not incite or call for violence itself.",'They will be massacred post-2027' predicts/implies ethnic-targeted mass violence against Luos in a way that goes beyond reporting — framed as an inevitable consequence aimed at the community.,True
2074229490008326329,nli_tail,"@makaumully You analysis is so shallow sir ,kangata is still a gov under UDA ticket,Ruto led UDA campaign while still in jubilee upto the last minute he resigned from jubilee only 6 months to election,I know you are under pressure to have your lazy tribesman kalonzo declared opp candidate",hate,offensive,"Attacks an individual politician using an ethnic stereotype ('lazy tribesman'), tying the slur to their ethnicity.","'lazy tribesman kalonzo' uses an ethnic-adjacent slur ('tribesman') to dismiss Kalonzo, but the operative insult ('lazy') targets him as an individual; borderline - lower-severity label applied.",True
2077357959131148720,p_hate_top,"@abuga_makori That's the crux of the current opposition in Kenya. Hii ya akina Sifuna ni infatuation tu Kikuyus stupid sense of entitlement is nauseating What their leadership was taken over by the most unreasonable leader in Kenya in recent history(RG), things are worse. But they won't win",hate,offensive,"States 'Kikuyus stupid sense of entitlement is nauseating', which stirs up ethnic contempt and ridicule against a named community.","'Kikuyus stupid sense of entitlement is nauseating' is a derogatory ethnic generalisation but stops short of dehumanisation, calls for expulsion, or violence; offensive group stereotyping rather than hate under the NCIC threshold.",True
2075457580390875238,p_offensive_top,"Says an ignoramus! Hiyo Western world ili withdraw USAID, sai hamna ARVs Nyanza, bedrock of hechaivi Same Western World ndio ina wa loan, hadi hii Nyota fund mnadhani ni ya Kenya Kwanza ni grant yao Jonasi ame take trips ngapi to the Western world? Fucking idiot, gerrout",hate,offensive,"Associates the Nyanza region with a disease ('bedrock of hechaivi'), stirring up regional/ethnic contempt alongside personal abuse.","'Ignoramus', 'fucking idiot' are personal insults directed at an individual; political critique of aid policy is not group-based hate.",True
2076133788053016880,p_hate_top,@_Yanoh We Luhyas LEFT that rotten chungwa to the few senile Luos who reason like juveniles. We can't be entangled in mediocrity #Sisindiosifuna. We don't fuckn care what people who couldn't make Rao president 5 times......5🤔 losers!,hate,offensive,"Attacks and ridicules a specific ethnic group by calling them 'senile Luos who reason like juveniles', stirring up ethnic contempt.",'Senile Luos who reason like juveniles' and 'losers' are derogatory ethnic generalisations but fall short of dehumanisation or calls for expulsion; offensive stereotyping rather than NCIC-threshold hate.,True
2077986296639734158,random_control,@MoraraKebaso Rubishhh peleka ukisii Yako huko wewe ndio umekua ukifight Sifuna last week yet you know how popular he is on ground anything you say from that moment on I take you as a dangerous TROJAN PLANTED IN JUBILEE,hate,offensive,Attacks an individual by explicitly dismissing them on the basis of their ethnicity ('peleka ukisii Yako huko').,'Peleka ukisii yako huko' is a dismissive personal insult directed at an individual; 'Ukisii' here functions as a personal put-down rather than an expulsion call against the Kisii community.,True
