post_id,text,human_label,human_label_v1,human_dehumanisation,human_violence_call,human_ethnic_targeting,human_coded_language,human_confidence,human_rationale,translation_used,human_label_pre_adjudication,human_adjudication,reference_flags,label,flags,target_group,confidence,rationale,warnings
2078495428392231037,"Kenya vs Kikuyu,,,2027 election",hate,hate,False,False,True,False,high,'kenya vs kikuyu',False,hate,,"[""ethnic_targeting""]",neither,[],,low,"'Kenya vs Kikuyu,,,2027 election' is a bare framing with no operative attack phrase.",[]
2073630067402355019,"@HusseinMohamedg Tell Murkomen @kipmurkomen we don't eat sports and stop thinking using his teeth alafu na wewe urudi kwenyu Somalia, mbwa 😠🚮🖕 #RutoMustGo",offensive,offensive,True,False,False,False,high,"The tweet is abusive and dehumanising toward the mentioned individuals, calling one 'mbwa' (dog) and directing 'urudi kwenyu Somalia' as a dismissive slur, without targeting a broader ethnic group as a collective.",False,offensive,,"[""dehumanisation""]",hate,"[""dehumanisation"", ""ethnic_targeting""]",Somalis,medium,"'urudi kwenyu Somalia, mbwa' orders a person to leave on the basis of Somali origin and calls him a dog.",[]
2078469306052927781,"OK, but ngubu is a special category. I can tolerate a Pan-Africanist. Bantu/Kavirondo supremacists and Zoomalya irridentists are entertaining. Heck, I'd wish to have OnlyFans creators in my circle. But ngubus is a big no. Goons, cattle rustlers, blogstitutes, Tutam lambiststs etc are in the ngubu category. They are a cancer ruining the advancement of our ngubu society.",neither,neither,False,False,False,False,high,No hate or offensive speech.,False,neither,,[],offensive,"[""dehumanisation"", ""coded_language""]",,low,"'They are a cancer ruining the advancement of our ngubu society' dehumanises an invented, unspecified category, not an identifiable protected group.",[]
2076586226040074606,Entitled Kikuyus are supporting Noisemaker Sifuna not because they believe he can beat president Ruto but they want to use him to drag Luo's and luhyas out of government.,offensive,offensive,False,False,False,False,medium,"The tweet is offensive primarily through the contemptuous labels 'Entitled Kikuyus' and 'Noisemaker Sifuna', which express disdain and personal attack rather than rising to dehumanisation or a hate-speech level of group-targeted hostility.",False,offensive,,[],hate,"[""ethnic_targeting""]",Kikuyu,medium,'Entitled Kikuyus ... want to use him to drag Luo's and luhyas out of government' ascribes a contemptuous collective motive to the Kikuyu community.,[]
2070957004017774874,@dauticn @HammerHamm026 Ol Kalou is a Samburu name. These are guys who stole someone's land.,neither,neither,False,False,False,False,high,No hate or offensive speech.,False,neither,,[],offensive,[],,low,'These are guys who stole someone's land' is a degrading accusation against an unspecified group with no clearly identifiable protected target.,[]
2074123719069339773,@kipmurkomen Goons have dominated the city and you are here ranting Gachagua We ni bure kuliko chai baridi,neither,neither,False,False,False,False,high,No hate or offensive speech.,False,neither,,[],offensive,[],,high,"'We ni bure kuliko chai baridi' abuses the politician Murkomen, with no protected-group target.",[]
2070620265155879104,@MkenyaMzi Kalenjins &amp; kikuyus ruling since independence understand the assignment&gt; kiss the global elites agenda to maximum! Sink their faces so deep the ass of pedophiles to the point its a Jejunum interaction! Lamba matako ya Jeffrey epstien inc.kabisa! gachagua makachiethaa! Useless!,offensive,offensive,False,False,False,True,high,"The tweet is offensive due to the sexually vulgar and scatological imagery directed at political figures, particularly the phrase 'Sink their faces so deep the ass of pedophiles to the point its a Jejunum interaction' and the Swahili 'Lamba matako' (lick buttocks), expressing disgust through crude personal attack rather than group-based hate.",False,offensive,,"[""coded_language""]",offensive,[],,low,"'Kalenjins & kikuyus ruling since independence ... Lamba matako' vulgarly degrades the ruling political class described by ethnicity, ambiguous as to a protected target.",[]
2078796447047401779,wantam people are insufferable.,neither,neither,False,False,False,False,high,No hate or offensive speech.,False,neither,,[],offensive,[],,low,"'wantam people are insufferable' insults a political grouping, not a protected group.",[]
2078230631566451064,@FFT1776 Brainwashed stooge. 🇨🇳💴💴💴,neither,neither,False,False,False,False,high,No hate or offensive speech.,False,neither,,[],offensive,[],,medium,"'Brainwashed stooge' abuses an individual, with no protected-group target.",[]
2074912160572932516,"Ongoza wamunyororo kwanza are you still dreaming to lead Kenya? Mambo yako Murkomen alimaliza, You're Mbesige of Uganda in Kenya under house arrest, ukicheza na Murkomen Kamiti straight! Kaa nyumbani, the only public place you're allowed is public toilet in wamunyororo village!",neither,neither,False,False,False,False,high,No hate or offensive speech.,False,neither,,[],offensive,[],,medium,"'the only public place you're allowed is public toilet in wamunyororo village' mocks a politician, with no protected-group target.",[]
