post_id,text,label,label_id,flags,confidence,rationale
2075656598563811579,@Kuilean1 @_KithureKindiki Nyoka ni gachagua na wamunyoro retards ... Tutam,offensive,1,[],medium,"'Nyoka ni gachagua na wamunyoro retards' abuses a politician and his political supporters, not a protected group."
2074463193427042348,@JimiWanjigi I used to believe you until the day I saw you with Kenya's number tribalist. I then knew that mtoto wa nyoka ni nyoka tu.,offensive,1,[],medium,'mtoto wa nyoka ni nyoka' and 'number tribalist' degrade Jimi Wanjigi as an individual.
2077073793856819218,"We have no country here!!! Next year it will be the chief goon's 20th anniversary after he committed the charges below in /07. Do you think he has turned saint even if his patner in crime is a ""prophetess/healer"",nope leopards do not change their madoadoa, they still remain killers!! Occupy statehouse!!!",offensive,1,[],medium,"'they still remain killers' accuses a political figure, with 'madoadoa' used only as leopard-spots wordplay."
2074404610526085598,@Georgeruto001 tunaua nyoka na mayai yake huku mlimani,offensive,1,['dehumanisation' 'violence_call' 'coded_language'],low,"'tunaua nyoka na mayai yake huku mlimani' is an eliminationist coded threat locating snakes in the mountain, without an identified protected group."
2074523189883899952,"Boy Kids should avoid this kind of Women's This is a serpent pretending to be a Woman Ukidinya yeye, maisha yako kwisha Shindwa Pepo ya Nyoka 🐍🐉 #Maandamano #sabasaba",offensive,1,['dehumanisation'],low,"'This is a serpent pretending to be a Woman' degrades an individual as a demon-snake, not women as a group."
2074078988964700492,@kinyuamike @KenyanSays Sio wewe ndio utaniambia kitu ya kufanya or not to do...mende wewe. Vile niliona ati double dare nilijua tu mnadeal na fala but I tried accommodating your stupidity. Nyinyi ndio wale mkiskia tunapenda maandamano mnaanza kupreach vile sijui serikali itatufanya nini...ngui,offensive,1,['dehumanisation'],medium,"'mende wewe' and 'ngui' are dehumanising insults aimed at another user, not a protected group."
2077835053472555505,"Ambieni Ruto aache mafeelings za OLKALOU 😂 boat ni kitu ya kutunyanganya?😂Ama wanangojea mp mwingine akufe😂 kwanza vyenye wameita cousin yetu SIFUNA maskini juu ni mtoto wa Mwalimu kanduyi,watajua hawajui, mlima loves the oppressed #RutoMustGo #SisiNdioSifuna #BaBuKwaSababu #RekeTumanwo #CuzoForCuzo 🇰🇪",neither,0,[],medium,'watajua hawajui' and '#RutoMustGo' are political taunts and criticism of Ruto without a protected-group attack.
2073461393559273786,"Man sounds warning to goons recounting how he was part of the 2008 outfit that was used by government for similar dirty work as today. He recounts how Michuki had Mungiki, Raila had Taliban and Nyachae had Chinkororo and the turf wars that followed after elections, then Kwekwe squad.........",neither,0,[],high,"The post recounts historical political militias as a warning, with no operative attack phrase."
2073457340247122314,"@YusuphCabdi @HonAdenDuale Tukimaliza kutoa wantam, next ni kutoa madoadoa Kenya. Tuwe safi kama pamba",offensive,1,['dehumanisation' 'violence_call' 'coded_language'],low,'kutoa madoadoa Kenya. Tuwe safi kama pamba' is coded cleansing rhetoric with no identifiable protected group named.
2073893630524150080,@EvanoMemba @HonKangata Sisi watu wa murang’a tuko sawa. Infact ame overwork sana. So we sent him to join the Linda wananchi team ndio tufukuze kasongo vizuri. You should mind what your governor is doing or has done and leave murang’a business alone.,neither,0,[],medium,"'tufukuze kasongo vizuri' is political removal of Ruto and 'watu wa murang'a' is self-reference, not an attack."
2075645107739447414,"@_KithureKindiki Yangu Iko, but nyoka na mayai yake lazima iende",offensive,1,['dehumanisation' 'coded_language'],low,"'nyoka na mayai yake lazima iende' codes a political enemy as a snake to be removed, with no protected target."
2073307399293636953,"Junet: I thought Huyu Sifuna Mambo yake tulikua tunamalizia pale Bunge Kumbe Tunamjenga Arati: Jana Alivuruga Zaidii kwa bedroom ....Nilijaribu Goons lakini wapi Matiangi :Mimi sioni Shida kwa Sifuna, SI ata alinisifu? Junet: Simba, Ama Tufukuze Oburu ODM Tueke Sifuna party leader? Arati:Mamuuúuuuuuuu.. Matiangi: Abujubuju.......☺️",neither,0,[],medium,'Tufukuze Oburu ODM' is satirical intra-party dialogue among named politicians with no protected-group target.
2076194521482670352,"This is something I've been consistently telling Kenyans. Some people labelled me a Fool. Truth be told, Edwin Sifuna and Babu Owino will never stick together. This a competition of Egos. None amongst them wants to be led by the other. Caleb Amisi is another gentleman to watch.. infact he stopped attending the Linda Mwananchi rallies. The split is very very imminent. Na huku Western Kenya Papa Wa Roma is fully back on the ground. Watajua Hawajui!",neither,0,[],high,"'The split is very very imminent' is opposition-dynamics analysis with a 'Watajua Hawajui' taunt, no attack."
2074188680307056915,"NA Speaker Moses Wetangula has issued a 48-hour demand to Standard Group over a front-page story titled Broad-based family, calling it false and defamatory Through his lawyers, Wetangula wants the publication withdrawn, an apology published on the front page, the online story pulled down, and compensation negotiations to begin, failing which he says he will sue Standard wamepatikana. Watajua hawajui",neither,0,[],high,"The post reports Wetangula's legal demand to Standard Group with a 'Watajua hawajui' taunt, no attack."
