post_id,true,pred_s1337,p_pred_s1337,confidence,flags,rationale,text,in_train,split
2069757736733044828,offensive,hate,0.4459541,medium,[],"'Residents of Kisumu are Emotional RETARDS' mocks a regional voting bloc for its political behaviour, not an ethnic attack.","These Residents of Kisumu are Emotional RETARDS, This Reminds Me how they have never Made Raila A President. They will show up To praise Baba but on the Material day of Voting, they don't show up thinking that other Regions will just vote for Baba. Ruto will never and Cannot Bank on Luos for a Consequential vote of Securing his Presidency 2027.Never. And Luo Leaders Knows this..that's why they are bootlicking William Ruto. When they're Dumped around November towards March ndio Watajua Raila is not Around to Call Maandamano.",False,challenge
2070222503457497192,offensive,hate,0.7311661,medium,['violence_call'],"'These Gachagua idiots should be shot in the head' is a violence call against a political grouping, not a protected group.","In their prime, Luos were never this primitive. These Gachagua idiots should be shot in the head.",False,challenge
2073128946103984379,offensive,neither,0.7575941,medium,[],"'Gaidi wa Mtandaoni' brands named activists as terrorists, degrading abuse of individuals rather than a protected group.","Maria Sarungi Gaidi wa Mtandaoni anayeishi maisha yake kwa kulipwa kwa kazi ya kuhamasisha vijana kufanya maandamano ya vurugu, amepata pigo kubwa baada ya vijana wanaoishi katika maisha magumu Tanzania kugoma kusambaza ujumbe wa vurugu walizopanga kuzifanya Julai 7 nchini Tanzania. Sijui kama Maria Sarungi na Gaidi mwenzake Mange Kimambi na wanaharakati wenzao wanaolipwa kwa matukio ya kuleta vurugu na maafa Tanzania wana taarifa kuwa vijana waliowatumia katika vurugu za Oktoba 29 mwaka 2025 wameuza ramani yote ikiwemo kukataa kusambaza vikaratasi vya kuhamasisha vurugu kwa kulipwa pesa. Vijana hao wamesema walirubuniwa na fedha mwaka jana wakaambiwa mjitokeze kufanya vurugu kwa kuchoma moto majengo na miundombinu muhimu ya Serikali kwa lengo la kuipindua nchi huku wakithibitishiwa kuwa Polisi hawatawaona kwa sababu walipewa dawa za kishirikina kuoga, yale yale ya vita vya Maji Maji!!!!. Watu mnajifanya washua kumbe washirikina wakubwa!! Wametoboa siri na kusema walikusanywa kwenye maeneo ambapo (siwezi kuyataja kwa kuwa wamiliki ni sehemu ya wanaopaswa kuchukuliwa hatua) walifundishwa mbinu za kufanya mashambulizi na wakiwa huko walipewa simu zilizotumika kufanya mawasiliano ya mud awa kuanza vurugu, fedha, chakula, vinywaji na vilevi vikali, bangi na madawa ya kulevya ikiwemo Skanka ili kuwasaidia kuchangamka wakati wanafanya uhalifu na vurugu. Vijana wanasema waliambiwa wafanye vurugu zao hadi saa 12 jioni watakapoingia wazee wa kazi kuchukua nafasi yao ya vurugu za kumaliza kazi ya kuipindua nchi. Ninachojiuliza hao wazee ni kina nani, walipanga kufanya nini baada ya saa 12 jioni kama sio hao walioua watu majumbani? nchi waliyokuwa wanaipindua ilikuwa na Serikali? Mbona siku ya Uchaguzi Kura zilikuwa hazijahesabiwa na haikujulikani mshindi? Sasa hapa nani alikuwa anaingilia mchakato wa kidemokrasia? Wakati huo huo, vijana hao wanasema baada ya vyombo vya ulinzi na usalama kuanza kuchukua hatua za kulinda maisha ya watu na mali zao kwa kutumia nguvu na hali kuwa tete, ndipo walipoanza kupoteana na kukimbia kwenye mapori na chini ya madaraja huku wakikosa chakula na vinywaji kwa kuwa hakukua na huduma ya soko na maduka pesa mifukoni. Waliowatuma hawakupokea simu zao kabisa. Hapo ndipo walipoanza kuchinja mbwa na paka kufanya kitoweo kwani hawakuwa na mahali pa kupata chakula. Vijana hao wamelaani kwa kusema wengine walikamatwa na kufunguliwa mashitaka mahakamani lakini hawakuwaona waliowatuma kufanya vurugu kuwatetea hadi pale walipopata msamaha wa Rais. Kiukweli wamesema wanajuta kushiriki katika matukio ambayo hawayajui sababu na chanzo chake kwa kuwa wao wanatumika kufanikisha mipango inayowanufaisha watu ambao wanawatumia tu kupata pesa kwa kuwa ni rahisi kushawishika kwa fedha kidogo kutokana na hali zao za umaskini. Wamewataka vijana wenzao kujifunza kutokana na vurugu zilizopita ambapo kuna vijana walifunguliwa kesi, wengine walipoteza maisha na wengine kujeruhiwa huku wanaowahamasisha wakinufaika kwa kulipwa fedha nyingi ughaibuni ambako wanaishi maisha ya kifahari. Wazazi waelekezeni vijana kuacha kufuata mkumbo wa watu wanaotosha uchochezi na maneno ya chuki mitandaoni wakiwa nje ya nchi wakisubiri Watoto wenu kufanya vurugu na kuchukuliwa hatua huku wao wakilipwa pesa nyingi. Hakuna nchi duniani inaruhusu mapinduzi. Kesi ya Uhaini ni ngumu. Wanaotaka Madaraka ni vema wakatumia njia halali. Hii mtasubiri sana huku kina Maria na Mange wakiokota dol ana kuishi kifahari na Watoto wao huko ughaibuni.",False,challenge
2073457340247122314,offensive,neither,0.6210596,low,['dehumanisation' 'violence_call' 'coded_language'],'kutoa madoadoa Kenya. Tuwe safi kama pamba' is coded cleansing rhetoric with no identifiable protected group named.,"@YusuphCabdi @HonAdenDuale Tukimaliza kutoa wantam, next ni kutoa madoadoa Kenya. Tuwe safi kama pamba",False,challenge
2073655294744559987,hate,offensive,0.7021154,medium,['ethnic_targeting'],'the Abagusii hv become the epitome of state sponsored goons' collectively brands an ethnic community as goons.,@FredMatiangi_1 it is clear u can't run the nation the Abagusii hv become the epitome of state sponsored goons within the united opposition call ua house to order.,False,challenge
2073707807790993524,offensive,neither,0.66563016,low,[],'Acha kuwa maziwa mala' is a mild insult aimed at a political figure.,Hii NI strategy ya united opposition to coerce preside Edwin Sifuna to take deputy position malala Acha kuwa maziwa mala,False,challenge
2073880519943524811,offensive,neither,0.5236127,low,['dehumanisation' 'violence_call' 'coded_language'],"'Kifo Cha Mende hio siku itakua lit' celebrates the coded 'death' of Kasongo, a political figure, not a protected group.",@abbiezuena Hii ndio tunataka. Kaende Kaende ...Kifo Cha Mende hio siku itakua lit 🔥. Tackles za Sifuna na chocha kaongo. Ayam ready for debate 😎,False,challenge
2074275953778266310,hate,neither,0.62124467,medium,['ethnic_targeting' 'coded_language'],"'The doors to takeover stay open' after 'the DC attack' frames Muslims as an invasive threat, stirring contempt against a religious group.",Nashville Rep. Zulfat Suara slams scrutiny of Muslim loyalty and calls for rejection of Sen. Tommy Tuberville’s bill to ban Islamic immigration She labels it “Islamophobic” and says we must not “punish an entire faith” — even after the DC attack The doors to takeover stay open,False,challenge
2074384591142404118,offensive,neither,0.5309428,medium,[],"'black police goon by the name of Rebecca' abuses an individual officer while reporting bribery, with no protected-group attack.",@InteriorKE @gk_ruku @ngaosKE There is a black police goon by the name of Rebecca traffic based at Karuri police station who is harrassing residents she demands hefty bribes anasema wakikuyu wako na pesa .,False,challenge
2074538379568366006,hate,offensive,0.56296974,low,['ethnic_targeting' 'coded_language'],"'shida ya Hawa watu wetu wa RiverLake... power kidogo, they grow egos' applies a collective ego stereotype to a regional-ethnic community.","@KenyanSays Kiburi imemea. Hii ndio shida ya Hawa watu wetu wa RiverLake. 😂😂😂😂 power kidogo, they grow egos",False,challenge
2074924931997999451,offensive,neither,0.57041293,medium,[],"'Opportunist propaganda' accuses an individual of being a paid political opportunist, abuse without a protected target.","Opportunist propaganda, If plenty of Ksh were sent your way from UDA, you would be spinning about tutam",False,challenge
2075152930370445419,neither,offensive,0.79686975,low,[],The 'kwekwe' line is quoted as a song Kasongo supposedly wants and 'vichwa ngumu' is only mild mockery.,"Deep down I know kasongo wants a ""kwekwe shambani mwa nyayo na zilimwe"" song dedicated to him. But anaku wa kumwandikia ndio ajiskie. Nyi wote ni vichwa ngumu",False,challenge
2075220606098768003,offensive,neither,0.836728,medium,[],"'government sponsored robot' and 'the carmel from Turkana' ridicule an individual IEBC official, not a protected group.","RT @generali_osumo: IEBC is considering postponing/cancelling Ol Kalou by-elections slated for next week over heavy voter bribery, goonism and campaigns beyond hours. It's like Ruto's elements have been bribing people heavily have sensed terrible defeat and now they are using the carmel from Turkana by the name Ethekon to try run away from the awaiting shame and humiliation. They have no where to hide, even with all the handouts and bribery the people are still not willing to vote the government sponsored robot!",False,challenge
2075250091938730027,offensive,neither,0.72369665,medium,[],"'Ni garbage' abuses named politicians, not a protected group.","RT @IreneMakena_: @Kenyans Umesema Gachagua, Kalonzo, Matiangi na Maraga ni garbage, sio?😂😂",False,challenge
2075262037043593493,offensive,neither,0.4897347,low,[],'Cara de Camello' and crude body language are vulgar football banter aimed at a non-protected target.,"@tipitoenojado La seña que hacía el Pelado DT era que le rompieron el hoyo en 13' y quería que le dieran los puntos, típico de gonca el cara de Camello 🫵😂🫵 🇦🇷 tricota TUTAM JAMON !!",False,challenge
2075278596323647536,offensive,neither,0.5688185,medium,[],"'hawana credibility tena ya kuhamasisha ugaidi' derisively accuses two named activists, not a protected group.","Mange Kimambi na Maria Sarungi wana ugomvi mkubwa sana sasaivi. Wame-panic maandamano yao kutoungwa mkono na Watanzania. Wamekosa pesa nyingi za wafadhili, wanajua hawana credibility tena ya kuhamasisha ugaidi tena Tanzania. Muda sio mrefu wataanza kutukanana matusi hadharani.",False,challenge
2075604774406521087,hate,neither,0.6294913,medium,['dehumanisation' 'ethnic_targeting'],"'wanawake sio watu' (women are not people) dehumanises women collectively, a protected group by gender.",First frame ni bwana analia bibi yake ameshikwa. Second ni bibi anakana l bwanake. Majamaa wanawake sio watu,False,challenge
2075645107739447414,offensive,neither,0.63760626,low,['dehumanisation' 'coded_language'],"'nyoka na mayai yake lazima iende' codes a political enemy as a snake to be removed, with no protected target.","@_KithureKindiki Yangu Iko, but nyoka na mayai yake lazima iende",False,challenge
2075892703242661923,offensive,neither,0.63852143,medium,[],"'she's a forever victim' and related jabs abuse Britney Spears individually, with race mentioned only descriptively.","See. #britneyspears won’t move on Cause she’s a forever victim ok She’s been thru hardships NO ONE CAN IMAGINE, 1 of them= sleeping with a man who knocked up a black woman. Also dating MJ NIECE Boyfriend also she’s SO sad she can NEVER EVER post Palestine🤔 #taeyong #jacksonwang",False,challenge
2076332167227949124,offensive,neither,0.57501537,medium,[],"'This is how the Lord Of Violence rules' is a degrading epithet for politician Gachagua, no protected-group target.","Rigathi Gachagua explicitly cautioned Kang'ata against Linda Mwananchi, yet violence erupted in Nyahururu. Goons attacking, driver shot – this is how the Lord Of Violence rules. Kenya must rise against this thuggery!",False,challenge
2076571815661498459,offensive,neither,0.8435017,medium,[],"'Fumigate the cockroaches occupying Kipchumba Murkomen's empty brain' insults an individual politician, not a protected group.","TODAY I STAND IN SOLIDARITY WITH WAKILI DIANA GICHENGO AND @TISAKenya 🛑 Wakili Diana Gichengo @dianagichengo is the Executive Director @TISAKenya . She was one of the brains behind The People's Audit, @OkoaUchumi_KE Report which enlightened Kenyans on matters economy, budget, corruption and debts. She was also one of the brains behind the Okoa Uchumi's ' Follow the money' 2024 pilot which demonstrated that citizens' oversight can expose misuse faster than institutional audits. @TISAKenya have been doing civic education on matters budget, the finance bill and good governance. In her latest civic duty, Miss Diana revealed that Kenyans are still being taxed to pay the wazungus who oppressed Kenyans during the colonial error. Diana Gichengo is reporting that suspected @DCI_Kenya officers have been doing some unfriendly tours around @TISAKenya offices. Dear @DCI_Kenya , the fumigants which should be used to fumigate the cockroaches occupying Kipchumba Murkomen's empty brain are not hidden at @TISAKenya offices. Diana Gichengo is a law abiding citizen, who only does civic education. Stop intimidating innocent Kenyans and focus on real criminals like Fikirini Jacobs and his murderous bodyguards. #HandsOffTISA",False,challenge
2077316018439930191,neither,offensive,0.5435863,medium,[],'all the racists crawl out of their holes' criticises racists rather than attacking a protected group.,@politicalmath You should see all the racists crawl out of their holes when you say it should be full of White people.,False,challenge
