post_id,text,human_label,human_label_v1,human_dehumanisation,human_violence_call,human_ethnic_targeting,human_coded_language,human_confidence,human_rationale,translation_used,human_label_pre_adjudication,human_adjudication
2076176895083704657,"@andysitian @Adele_lide Kwani kasongo removed his on money, Takataka wewe mtoto wa mchawi umbwa.",offensive,hate,True,False,False,True,high,"The tweet dehumanises the target with 'Takataka wewe... umbwa' (You are filth... dog) and layers coded insult with 'mtoto wa mchawi' (child of a witch), a culturally loaded Swahili slur used to delegitimise and shame.",False,hate,non_target_hate_to_offensive
2077905987634098339,"RT @citizentvkenya: Rigathi Gachagua: I’m told they want to try and overturn the results and if they can’t, they cause chaos so that the election is cancelled so that they get another opportunity to repeat the elections. Even if they do, the results will remain the same. That is the Kikuyu nation for you",hate,offensive,False,False,True,False,high,'That is the Kikuyu nation for you' transfers blame for political chaos onto the entire ethnic community.,False,offensive,protected_target_to_hate
2073850941598478601,"@jmuragengunjiri The most gullible and stupid lot are these wantam mongrels, they consume anything negative about the government bora ni propaganda, it somehow makes them feel good",hate,offensive,True,False,True,True,high,'wantam mongrels' - 'mongrels' dehumanizes Kikuyu-associated opposition movement.,False,offensive,protected_target_to_hate
2075172069566763028,"Western is irredeemably divided, and not even the presidency will unite them. Their conversation is always about clans where someone comes from. Bukusu think leadership is their birthright and other luhyas are their subjects. Believe me ,not , William Ruto will get more votes in Western Kenya than the opposition presidential candidate 2027.",hate,offensive,False,False,True,False,medium,'Bukusu think leadership is their birthright and other luhyas are their subjects' - collective attribution of superiority complex,False,offensive,protected_target_to_hate
2073398689364684874,"@HassanMcOjwang Kasongo akichukua mic atasema vile helathcare is free huku, watu wa tutam have a special place in hell if at all it exists",hate,offensive,False,False,True,False,high,'watu wa tutam have a special place in hell' - consigning Luhya community to damnation collectively.,False,offensive,protected_target_to_hate
2075261779748208711,@edwinsifuna @IEBCKenya is a BRANCH of Kasongo evil weapons against Kenyans. Anyone thinking these FCKs are independent is r*tarded.,offensive,hate,False,False,False,False,high,"'r*tarded' and 'FCKs' are crude personal insults about judgment, not ethnic targeting.",False,hate,non_target_hate_to_offensive
2073405304390254737,@wambuijoan2024 We know Kikuyus are desperate for such scenes! TUTAM is unstoppable!,hate,offensive,False,False,True,False,medium,'Kikuyus are desperate for such scenes' - collective attribution of desperation to the community.,False,offensive,protected_target_to_hate
2072782341454377172,@makaumully Duale and Mbadi definitely so that they can concentrate full time in organising 2027 post election violence against the Kikuyu community. They are already inciting other Kenyans against Kikuyus. They should not be earning from our tax payers contributions.,hate,offensive,False,True,True,False,high,'organising 2027 post election violence against the Kikuyu community' - direct accusation of planned ethnic violence.,False,offensive,protected_target_to_hate
2074063563119870278,@georgediano Bungoma has a substantial sabaot vote block in Mount Elgon and Kimilili are very clueless .,hate,offensive,False,False,True,False,high,'sabaot vote block... are very clueless' - collectively declares the community as stupid.,False,offensive,protected_target_to_hate
2077796361844465903,"@Keir_Starmer Are yoh blind or just fucking mental? You've done everything in your power to habitually fuck over the british people against our wishes/ turn britain into an authoritarian hell hole and for that, we hate you. You are deluded and can go fuck yourself.",offensive,hate,False,False,False,False,high,"'fucking mental', 'fuck over', 'fuck yourself' - vulgar personal attack on UK PM Starmer, not group-based.",False,hate,non_target_hate_to_offensive
2077282514360586650,"@SeeRacists Later whites will come out to be claiming saints always, whereas racism full their mind. He should be charged.",hate,offensive,False,False,True,False,high,'racism full their mind' - collective negative attribution to whites as a racial group.,False,offensive,protected_target_to_hate
2073839392746041535,@JimmyKings8 Murkomen ni kihii tu kama Kasongo. Hii Kenya ni ya macuzo. Kasongo na Murkomen waendee macuzo wao South Sudan.😂😂☝️,hate,offensive,False,False,True,False,high,'Hii Kenya ni ya macuzo. waendee macuzo wao South Sudan' - ethnic supremacy claim plus expulsion call based on circumcision practices.,False,offensive,protected_target_to_hate
2074505459935953358,"@Ceaser_X6 @HEBabuOwino Luos will always want to be ahead of luhyas, we know that. Babu has been clear he wants Nairobi GV seat, here I just see a bitter soul",offensive,hate,False,False,False,False,high,Group-targeted attack / incitement.,False,hate,non_target_hate_to_offensive
2077252339790975271,"@NyabasaDanvas @mainandegwa232 Kikuyu from central hukuwa wajinga sana....But sisi from RV, we could never vote for Ruto, ata ikuwe ni yeye pekee yake kwa ballot",hate,offensive,False,False,True,False,high,'Kikuyu from central hukuwa wajinga sana' (are very foolish) - collective negative trait.,False,offensive,protected_target_to_hate
2070932374536224962,Herman Manyora opines that pushing Edwin Sifuna out as ODM's Secretary General paints the party as one owned by the Luo community.,offensive,hate,False,False,False,False,high,Group-targeted attack / incitement.,False,hate,non_target_hate_to_offensive
2075538517023658041,@Kenyans You will hear those 2 term imbeciles in celebration as if they suffer from cerebral maleria,offensive,hate,False,False,False,False,high,'imbeciles' - insulting political opponents over term limits.,False,hate,non_target_hate_to_offensive
2072392846422745149,"@LarryMadowo Mnangagwa, that mad son of @KagutaMuseveni and the blood-thirsty kasongo @WilliamsRuto would have used lethal force and live ammunition to shoot unarmed and peaceful citizens.",offensive,hate,False,False,False,False,high,"'mad son', 'blood-thirsty kasongo' - harsh personal attacks on named leaders.",False,hate,non_target_hate_to_offensive
2073052992421384548,@realcomeback_ Same raila that vied 5 times never won . He gave directions to luos whose votes have never helped anyone other than get them to govt after elections . 2027 you will be in opposition again,offensive,hate,False,False,False,False,high,Group-targeted attack / incitement.,False,hate,non_target_hate_to_offensive
