story_id,n_authors,seed_handle,seed_followers,seed_suspicion,seed_in_coord,fringe_seeded,picked_up_by_big,big_handle,lag_to_big_h,early_in_coord,text
0,60,WilliamsRuto,6945325.0,0.013,False,False,True,WilliamsRuto,0.0,0,"Assent to Parliamentary Bills, State House, Nairobi https://t.co/XqAlNCRDiY"
1,43,TheCitizenTz,308046.0,0.067,False,False,True,TheCitizenTz,0.0,0,"Africa's richest man, Aliko Dangote, has announced that his proposed East African oil refinery will be built i"
2,26,rigathi,1089243.0,0.005,False,False,True,rigathi,0.0,0,Wamunyoro Consultative Meeting with leaders from Githunguri Constituency https://t.co/isuqKitIds
3,43,georgegalloway,929224.0,0.155,False,False,True,georgegalloway,0.0,0,I wish England a thumping victory tonight in the rigged World Cup against the cheats of Argentina. That’s it. 
4,8,KTNNewsKE,879242.0,0.154,False,False,True,KTNNewsKE,0.0,0,Resurgent intimidation of journalists in Kenya and the East African region is a worrying trend which analysts 
5,38,WairimuMar203,11.0,0.344,False,True,True,1drcole,109.9,0,@ledamalekina the people you represented should vote you out because you don't know what you're doing you have
6,24,NationAfrica,4265144.0,0.15,False,False,True,NationAfrica,0.0,0,CIVIL SOCIETY group Vocal Africa sues Speakers Moses Wetang’ula and Amason Kingi; lobby wants High Court to ba
7,3,StandardKenya,2732828.0,0.155,False,False,True,StandardKenya,0.0,0,"Handout season

Introducing Platinum, Silver and Emerald memberships tailored just for you! More choice. More "
8,29,PentlandsTax,1068.0,0.137,False,False,False,,,0,"Savings Interest Could Trigger Tax
Could your savings interest create a tax bill? Know your allowances and how"
9,23,NationAfrica,4265144.0,0.15,False,False,True,NationAfrica,0.0,0,"Goons disrupt Linda Mwananchi rally in Kisii 
https://t.co/56lQPxUH03"
10,2,NationAfrica,4265144.0,0.15,False,False,True,NationAfrica,0.0,0,"The future of regional trade is here! 

Join us for the East Africa Logistics, Warehousing & E-Commerce Confer"
11,6,ntvkenya,5352508.0,0.15,False,False,True,ntvkenya,0.0,0,"Junior Starlets Eye World Cup Berth 

Kenya’s Junior Starlets are set for a decisive FIFA Under-17 Women’s Wor"
12,11,NyakundiReport,31036.0,0.051,False,False,True,ntvkenya,0.2,1,EALA MP Kanini Kega claims that he was attacked by armed assailants on the final day of heated Ol Kalou parlia
13,8,Tweetsbyblair,8922.0,0.171,True,False,False,,,1,King of Impunity Kingi betrayed Senate rules by verifying only ten signatures instead of the required sixteen 
14,22,CaptainKipkorir,15806.0,0.118,False,False,True,citizentvkenya,2.4,0,"Deputy President Prof. Kithure Kindiki presides over The 104th Ushirika Day Celebrations, Uhuru Park, Nairobi "
15,16,citizentvkenya,6853809.0,0.159,False,False,True,citizentvkenya,0.0,0,"Interior CS Kipchumba Murkomen says government will investigate allegations of hooded, armed men causing havoc"
16,3,KTNNewsKE,879242.0,0.154,False,False,True,KTNNewsKE,0.0,0,"Over 500 people dead in DRC Ebola outbreak as confirmed cases hit 1,561; World Health Organisation says case f"
17,19,ntvkenya,5352508.0,0.15,False,False,True,ntvkenya,0.0,0,"Government moves to tap Saccos’ trillions for development

More than one trillion shillings entrusted to SACCO"
18,10,StandardKenya,2732828.0,0.155,False,False,True,StandardKenya,0.0,0,"IEBC proposes Sh4.44b campaign spending limit for presidential candidates, political parties capped at Sh17.7b"
19,9,NationAfrica,4265144.0,0.15,False,False,True,NationAfrica,0.0,0,BABY PENDO Park launched in Kisumu; recreational facility honours minor killed in police crackdown on proteste
20,9,NyakundiReport,31036.0,0.051,False,False,True,citizentvkenya,2.9,1,"Lawyer Ndegwa Njiru, a close ally of former Deputy President Rigathi Gachagua, was on Wednesday night arrested"
21,5,citizentvkenya,6853809.0,0.159,False,False,True,citizentvkenya,0.0,0,Former KDF officer Major Peter Mugure gets life sentence for the 2019 murder of his wife and two children http
22,14,njung9308,1536.0,0.419,False,False,False,,,0,"The Grace of GOD will not last forever. 
#BeAwareTimeIsOver"
23,18,MarthaKarua,1762039.0,0.056,False,False,True,MarthaKarua,0.0,1,Saddest thing I have seen. My prayers are with @EriasLukwago and all sincerely hope his plea will be heard @Ju
24,7,KitambalaMarcel,30785.0,0.016,False,False,True,NationAfrica,74.7,0,"Ebola en #RDC : « C’est une situation préoccupante qui sévit actuellement à Wamba, dans la province du Haut-Ué"
25,15,cbs_ke,168022.0,0.202,False,False,True,cbs_ke,0.0,1,Trans Nzoia Governor and DAP Kenya deputy leader George Natembeya has announced his departure from the politic
26,9,MatineReality,168.0,0.08,False,True,False,,,0,ଗଠଌଶଡଋଷ  Katika Kenya (Kenya) tumia leo msimbo wa kuponi Temu / Temuco Temu kwa oda ya kwanza misimbo ya promo
27,5,citizentvkenya,6853809.0,0.159,False,False,True,citizentvkenya,0.0,0,"Blow to Rastafarians as High Court rejects petition to legalise bhang for religious use, rules that they faile"
28,5,StandardKenya,2732828.0,0.155,False,False,True,StandardKenya,0.0,0,"Six people killed, five others injured after matatu collides with a trailer at Nyanja area on Nakuru-Eldoret h"
29,10,citizentvkenya,6853809.0,0.159,False,False,True,citizentvkenya,0.0,0,"Gov't fast-tracking new Cooperatives law to improve governance, modernise the sector-DP Kindiki https://t.co/e"
30,10,Naomikibandi,143175.0,0.113,True,False,True,Naomikibandi,0.0,2,"MP Abubakar Zein has passed away.
Sad news this morning. https://t.co/AP5uKELEiP"
31,2,NationAfrica,4265144.0,0.15,False,False,True,NationAfrica,0.0,0,"The future won’t wait. Neither should you.

AI is reshaping business.
Platforms are redefining markets.
Cultur"
32,2,ntvkenya,5352508.0,0.15,False,False,True,ntvkenya,0.0,0,"Discover Innovation in the Meat Industry! 

The 5th Edition of the Kenya Meat Expo is your premier gateway to "
33,9,nagabanebert1,2061.0,0.207,False,False,True,observerug,3.8,0,"The state's fear of a fair trial is pathetic. First, they deport Kenyan lawyer Martha Karua SC right from Ente"
34,13,Ruthjelagat13,8246.0,0.152,False,False,True,onjolo_kenya,111.7,1,"Huku ground hawajali hata kuhusu Finance bill,hawa bora wametunga nyimbo ya tutam😭😭 https://t.co/5gcKxNTdGH"
35,8,NationAfrica,4265144.0,0.15,False,False,True,NationAfrica,0.0,0,FRANCE BOOK place in 2026 Fifa World Cup quarter-finals after edging Paraguay 1-0 in hard-fought round of 16 c
36,8,Misogaalvin,14413.0,0.222,False,False,False,,,0,Kenyans must rise against such thuggery seen in Keumbu targeting Team Linda Mwananchi members. Effective way f
