post_id,text,human_label,human_label_v1,human_dehumanisation,human_violence_call,human_ethnic_targeting,human_coded_language,human_confidence,human_rationale,translation_used,pool,label_gemini,flags_gemini,label_cursor,flags_cursor,label_v3_gemini,flags_v3_gemini,label_v3_cursor,flags_v3_cursor
2075755444837233030,"@SanghamitraLIVE Fancy English will neutralise the fact that you were a tmchee shit. Same Islamic party of tmc responsible for sandeshkhalli, Murshidabad violence and thousands of Hindus killing and rape in last 15 specially in pre and post election violence.",hate,offensive,False,False,True,False,medium,'Same Islamic party ... responsible for ... thousands of Hindus killing and rape' stirs collective contempt against a religious group.,False,split_primary_soft,offensive,[],hate,"['ethnic_targeting', 'violence_call']",offensive,[],hate,"['ethnic_targeting', 'violence_call']"
2073976259613274273,@linc_ke3 I'm seeing government paid bloggers trying to create a war against him with that low-IQ Didmus Barasa.,offensive,offensive,False,False,False,False,high,'low-IQ Didmus Barasa' is personal abuse of a politician with no protected-group target.,False,agree_offensive,offensive,[],offensive,[],offensive,[],offensive,[]
2077929505377878107,"@WhiteHouse LMAO, yet Trump is screaming Democrats cheat, well, when he doesn't win.. he hates half the fucking country",neither,offensive,False,False,False,False,medium,"'he hates half the fucking country' is political criticism of Trump with vulgarity as an intensifier, not abuse of a protected group.",False,random_remaining,offensive,[],offensive,[],neither,[],offensive,[]
2074904507524248007,@ivymuthe If this IDIOT👇👇👇👇 from Kikuyu community is how some KENYANS reason We have a problem Now the fool from Wamunyoro has inspired his cunts to target other Africans Hakuna watu Wajinga kama hawa watu wa gachagua,offensive,offensive,False,False,False,False,medium,"'Hakuna watu Wajinga kama hawa watu wa gachagua' abuses Gachagua's political followers, not the Kikuyu community as a group.",False,split_primary_soft,offensive,[],hate,['ethnic_targeting'],offensive,[],hate,['ethnic_targeting']
2077039750658039894,RT @mkurugezpart2: Madem wajaluo na mechi ni kama kasongo na uogo bana Mwingine karibu animalizie kwake weekend 🤣🤣,hate,offensive,False,False,True,False,low,"'Madem wajaluo na mechi ni kama kasongo' sexually ridicules Luo women collectively, though framed as banter.",False,split_primary_soft,offensive,[],hate,['ethnic_targeting'],neither,[],hate,['ethnic_targeting']
2076557133903024422,@HonMoses_Kuria Every drop of blood that's falling on Ol Kalou soil will not go without it's revenge. Some people think it's a joke till they start falling one by one with unknown diseases. Kasongos following children of Mau Mau to strike them off their dignity but punishment will be painful,offensive,hate,False,True,False,True,low,"'punishment will be painful' and 'falling one by one with unknown diseases' is a veiled coded threat aimed at 'Kasongos', a political grouping, not an identifiable protected group.",False,agree_hate,hate,"['violence_call', 'ethnic_targeting', 'coded_language']",hate,"['violence_call', 'coded_language', 'ethnic_targeting']",hate,"['ethnic_targeting', 'violence_call', 'coded_language']",hate,"['violence_call', 'ethnic_targeting', 'coded_language']"
2075472650990707003,@G19Gee @MaryK2022 Kamama flani apo bald head hukiss ass ya kasongo mbaya sana.,offensive,offensive,False,False,False,False,high,'Kamama flani apo bald head hukiss ass ya kasongo' is personal political abuse with no protected-group target.,False,agree_offensive,offensive,[],offensive,[],offensive,['coded_language'],offensive,['coded_language']
2075233833029337356,@JaphethOtieno01 @paulinenjoroge That's divided loyalty. Choose jubilee or Linda mwanainchi nothing like that,neither,neither,False,False,False,False,high,'Choose jubilee or Linda mwanainchi' is political-loyalty commentary without abuse.,False,random_remaining,neither,[],neither,[],neither,[],neither,[]
2076088836715851785,@HisFausTiN @FauzKhalid Ruto psychophants hawafikirii kitu ingine ispokuwa kasongo,offensive,neither,False,False,False,False,low,"'Ruto psychophants hawafikirii kitu ingine' derides Ruto's supporters, a political grouping, not a protected group.",False,random_remaining,neither,[],offensive,[],neither,[],offensive,['coded_language']
2078276007535005999,"@jeremycorbyn We all know you are a long standing radical Islamist simp, prove genocide statistically.",offensive,offensive,False,False,False,False,medium,"'long standing radical Islamist simp' is personal abuse of Corbyn, not an attack on Muslims as a group.",False,split_primary_soft,offensive,[],hate,['ethnic_targeting'],offensive,[],offensive,[]
2073809644384858332,@MusaliaMudavadi Fuck you incompetent son of a bitch...,offensive,offensive,False,False,False,False,high,'Fuck you incompetent son of a bitch' is vulgar personal abuse of a politician.,False,agree_offensive,offensive,[],offensive,[],offensive,[],offensive,[]
2074546818986201378,@KenyanSays Wanaume mnaliaje kukaliwa.African men are docile and losers.Vuruga mtu,hate,hate,False,False,True,False,medium,'African men are docile and losers' ridicules a group defined by gender and origin collectively.,False,agree_hate,hate,['violence_call'],hate,['ethnic_targeting'],hate,['ethnic_targeting'],hate,['ethnic_targeting']
2072573805118234682,"@WuodAbilla Luos were being killed by KK government while in opposition, they are still being killed while in broad-based government. They will be massacred post-2027 after electing Ruto. No Raila to kneel in front of Ruto to stop the carnage. They will see bad things here in front.",neither,neither,False,False,False,False,medium,'Luos were being killed ... They will be massacred' warns about violence against Luos rather than attacking them.,False,split_primary_soft,neither,[],hate,"['violence_call', 'ethnic_targeting']",hate,"['ethnic_targeting', 'violence_call']",neither,[]
2077388420607869179,"-KIKUYUS were SILENT on 2007 POST ELECTION VIOLENCE PHOTOS/VIDEOS During KIKUYUS PRESIDENCY of UHURU KENYATTA🤔 -TODAY,KIKUYUS POST these PHOTOS in William Ruto PRESIDENCY,as PUBLIC SYMPATHY CARD🙂 -RUTO MUST Rule kenya till 2032 whether KIKUYUS like it or NOT -By FIRE/BULLET",hate,hate,False,True,True,False,high,'RUTO MUST Rule kenya ... whether KIKUYUS like it or NOT -By FIRE/BULLET' threatens Kikuyu as a group with violence.,False,random_remaining,hate,"['ethnic_targeting', 'violence_call']",hate,"['ethnic_targeting', 'violence_call']",hate,"['ethnic_targeting', 'violence_call']",hate,"['violence_call', 'ethnic_targeting']"
2074970810037497991,"@abuga_makori Waluhya ndio jobless urban na rural , ndio maana tunawaambia wachana na Sifuna ama mkae opposition hii error century tena 😀.",hate,neither,False,False,True,False,medium,'Waluhya ndio jobless urban na rural' attributes joblessness collectively to an ethnic community.,False,split_primary_soft,neither,[],hate,['ethnic_targeting'],neither,[],hate,['ethnic_targeting']
