platform_post_id,author_handle,label,p_offensive,p_hate,hate_flag,bucket,engagement,lang,text
2077475241526174033,RepOgles,offensive,0.40256571769714355,0.32249268889427185,True,offdomain,59774,en,"I have a bill that could Remigrate Zohran Mamdani, and a lot of other foreigners who hate our country.

Pass my Remigration Act! https://t.co/39Fi2dXaUO"
2073058628580307141,amuse,hate,0.21117055416107178,0.7227159738540649,True,offdomain,10837,en,"SOCIALISM: This will be the youngest member of Congress from Colorado. She has no understanding of economics, history, much less human nature. America won’t survive if we allow African-born socialists to rule us.  https://t.co/9mdVnHNzts"
2077519757629153542,Gigiluvs2020,hate,0.08369863033294678,0.8349894285202026,True,offdomain,343,en,@RepOgles We should never allow Muslims to be leaders in this country. They hate America and have an agenda to erase the freedoms and privileges she offers. America is a Christian nation and we should never allow Islam to dictate who and what we are.
2073059360805179547,amuse,hate,0.23524968326091766,0.6734077334403992,True,offdomain,191,en,SOCIALISM: African-born socialists seek to destroy America and remake into an Islamic state free from Christians and Jews.  https://t.co/NZr3m5uaic
2078629143692882165,TruthS33ker76,hate,0.1454354077577591,0.8038196563720703,True,offdomain,186,en,@realMaalouf It's an insult to every American alive and dead for these people to even breath our air. Get the Muslims Out!!
2078714500078039549,magadaddy777,hate,0.14341184496879578,0.8125742673873901,True,offdomain,138,en,"@realMaalouf OUR COUNTRY IS BEING TAKEN OVER BY COMMUNISTS, MUSLIMS THAT ARE WISHING DEATH TO AMERICA. THEY'RE BEING ELECTED INTO VERY IMPORTANT POSITIONS! NEED TO DECLARE THE ACT OF 1954! https://t.co/6x99WjGTtP"
2077507113945850261,Theo_of_Amasea,hate,0.12332742661237717,0.8463562726974487,True,offdomain,78,en,@RepOgles Who cares about passing laws anymore? What law allowed tens of millions of illegals into my country? Just arrest and deport mamdani and every other commie and muslim.
2077858149336330420,Granaidh185619,hate,0.16289149224758148,0.4722449481487274,True,offdomain,25,en,@JasonSimmo86712 100%. Muslims do not do this in Muslim countries.  It is a sign of their domination of and disrespect for America.
2078889120450187663,ThomasPainejr1,hate,0.25258442759513855,0.679359495639801,True,offdomain,24,en,"@realMaalouf Deport these America-hating barbarians.

Islam is incompatible with western values and liberty.

ENOUGH with this!"
2078687905325981805,QueenEmyB1,hate,0.2252606302499771,0.7381698489189148,True,offdomain,22,en,"@AntiTrumpCanada lol. Canada has been cucked by commies and filthy Indians. 

Trump is the least of your problems."
2077371462571139281,ToBeEncouraging,hate,0.17214028537273407,0.7976670265197754,True,offdomain,17,en,@JoeBiden @littlebrown Bro YOU ruined America. Look at it. Look what happens when you let millions of undocumented immigrants in.  Brink of a Civil War and Islam takeover. Housing crisis. Fuck you honestly. Fuck. You!
2078672421973008802,SFWsalesgirl,offensive,0.49461179971694946,0.439739853143692,True,offdomain,12,en,"@AntiTrumpCanada Yeah we have nothing to worry about from these pansy ass Canadians 🤣 You guys can bitch and moan about Trump all you want, he is still the best president in decades and we love him https://t.co/QhjjpvH7f6"
2078967328633463050,hrkbenowen,hate,0.3033748269081116,0.44188520312309265,True,offdomain,9,en,@MichaelRapaport @hottieballerina Mamdani is a Muslim communist so there’s no surprise that he wants to arrest Netanyahu.
2078073665913036969,RedTeamLeader00,hate,0.19053928554058075,0.7797390818595886,True,offdomain,8,en,@BTT1024 Loop hole. What is it about you Indians that you can’t understand we want you  out of our country. I’ll say it. We don’t like you or your culture. Return to India and make India great. Just get hell out of our country.
2078883839355887773,SD_TaxFighters,hate,0.21560783684253693,0.5091848969459534,True,offdomain,7,en,"At the VERY LEAST, all Muslims who arrived in America in the last 10 years should be deported.
Any remaining Muslims must formally renounce this vicious cult religion.
Their Mosques should be ""repurposed,"" or torn down. All remaining Muslins should be monitored to ensure that they really DID reject Islam -- and be deported if found that they lied.
Islam is a greater danger long term to Western Civilization than Russia, China, ""climate change,"" or even Socialism."
2075204008457744532,Michael01755990,hate,0.09515842795372009,0.8439418077468872,True,offdomain,5,en,"@WhiteHouse Islamics are running great parts of USA, daily they are burning your flags and calling for death to america, in America.  I find that frightening and see no evidence you are stopping the invasion."
2078116727410282680,Blackpilled1003,hate,0.1511913686990738,0.8267965316772461,True,offdomain,3,en,@WhiteHouse Then remove every single US official who had duel citizenship to Israel or has ever received money from Israel/AIPAC. Stop pretending the American people can’t see you fucking jews are the problem world wide
2078825424759533588,Senor_Steve,hate,0.17828956246376038,0.6060075759887695,True,offdomain,3,en,@realMaalouf America must declare Islam the enemy. Those practicing &amp; supporting an Islamic takeover of America must be prosecuted for sedition and dealt with in an appropriate manner. (Jail or deportation)
