post_id,text,human_label
2075755444837233030,"@SanghamitraLIVE Fancy English will neutralise the fact that you were a tmchee shit. Same Islamic party of tmc responsible for sandeshkhalli, Murshidabad violence and thousands of Hindus killing and rape in last 15 specially in pre and post election violence.",
2073976259613274273,@linc_ke3 I'm seeing government paid bloggers trying to create a war against him with that low-IQ Didmus Barasa.,
2077929505377878107,"@WhiteHouse LMAO, yet Trump is screaming Democrats cheat, well, when he doesn't win.. he hates half the fucking country",
2074904507524248007,@ivymuthe If this IDIOT👇👇👇👇 from Kikuyu community is how some KENYANS reason We have a problem Now the fool from Wamunyoro has inspired his cunts to target other Africans Hakuna watu Wajinga kama hawa watu wa gachagua,
2077039750658039894,RT @mkurugezpart2: Madem wajaluo na mechi ni kama kasongo na uogo bana Mwingine karibu animalizie kwake weekend 🤣🤣,
2076557133903024422,@HonMoses_Kuria Every drop of blood that's falling on Ol Kalou soil will not go without it's revenge. Some people think it's a joke till they start falling one by one with unknown diseases. Kasongos following children of Mau Mau to strike them off their dignity but punishment will be painful,
2075472650990707003,@G19Gee @MaryK2022 Kamama flani apo bald head hukiss ass ya kasongo mbaya sana.,
2075233833029337356,@JaphethOtieno01 @paulinenjoroge That's divided loyalty. Choose jubilee or Linda mwanainchi nothing like that,
2076088836715851785,@HisFausTiN @FauzKhalid Ruto psychophants hawafikirii kitu ingine ispokuwa kasongo,
2078276007535005999,"@jeremycorbyn We all know you are a long standing radical Islamist simp, prove genocide statistically.",
2073809644384858332,@MusaliaMudavadi Fuck you incompetent son of a bitch...,
2074546818986201378,@KenyanSays Wanaume mnaliaje kukaliwa.African men are docile and losers.Vuruga mtu,
2072573805118234682,"@WuodAbilla Luos were being killed by KK government while in opposition, they are still being killed while in broad-based government. They will be massacred post-2027 after electing Ruto. No Raila to kneel in front of Ruto to stop the carnage. They will see bad things here in front.",
2077388420607869179,"-KIKUYUS were SILENT on 2007 POST ELECTION VIOLENCE PHOTOS/VIDEOS During KIKUYUS PRESIDENCY of UHURU KENYATTA🤔 -TODAY,KIKUYUS POST these PHOTOS in William Ruto PRESIDENCY,as PUBLIC SYMPATHY CARD🙂 -RUTO MUST Rule kenya till 2032 whether KIKUYUS like it or NOT -By FIRE/BULLET",
2074970810037497991,"@abuga_makori Waluhya ndio jobless urban na rural , ndio maana tunawaambia wachana na Sifuna ama mkae opposition hii error century tena 😀.",
2073703934410064055,"@C_NyaKundiH THIS IS THE BANK USED BY THE KENYA 🇰🇪 FAKE ASS MAFIAS MASTERS DEACONS, RETIRED GOVERNMENT THUGS, CARTELS THIEVES OF FOREIGN ORIGIN THE ENTIRE BANK SYSTEM REMITS FROM UAE DUBAI QATAR FINANCE BILL KICKBACKS HEAVY WEIGHT DOLLAR CASH WASH WASH OFFSHORE ACCOUNTS HANDLERS SHAKAHOLAS.",
2075458185784111327,@omwambaKE Why do some Kalenjin look down on Mulembe Nation? Lecturing them as if they shouldn't make their own decisions but follow them like blind goats?,
2075237513124249717,@makaumully Nyani haoni kundule! You want to retire Wetangula and Mudavadi but retain the 77 year old gnu whose hair is even falling off in protest at living on an empty head!,
2078554444321739167,"@kingethuk Chebukati made Ruto president, Kiluyus have never made anyone president in Kenya without rigging. Election fraud ndio mnajigamba nayo kila election year?",
2076678972264337422,"@Bosieinnocent @MaryK2022 Cry more. Cry baby pumbavu, tutam nonsense writing stupidity. What has your 2term idiot done with Kenyan resources. Running your mouth here yet he's busy making you poor. Fool!!!",
2078257191652384996,@davidjesse_ No he should stay with kindiki to proof that gema is just kikuyu enslaving other tribes pretending gema is something beneficial to everyone yet they can't support someone from gema who is non kikuyu.,
2071209649001398353,"Kazi ya Wamunyoro ni fitina, ukabila na chuki",
2077657805876506727,"@Kibet_bull And do all Kikuyu support wamunyoro? Listen to Kioni, Ngunjiri wambugu, and a silent majority of the Kikuyu community",
2077779341119717632,"@WHLeavitt A yes. Bomb these demons of terror out of existence. Send in assassin’s, drones, what ever it takes to eliminate these Muslims satanic monsters where ever they are.",
2073539775634575602,"@kipmurkomen Shame on you useless CS!why can’t you do your job without referring to RiggyG! Kenya is bigger than your personal enemy! Your energy should go to the people of Kenya, to ensure our security is better not verbal diarrhoea everyday Wamunyoro! Give us a break!",
2073794915306271076,Our kindness is our downfall! We must kick these Somalians out of kenya!,
2075730279562445008,@MkenyaMzi Ruto remains the enemy of kenyans. Reports of Uda hiring goons to disrupt hence cancelation of the election were recieved earlier. Wantam is inevitable Ruto must go,
2073526232856003032,"@gpdkaluma Kenya has gone 10× back under goons and ruto, bythe time 2027 inafika July, watu watakuwa wanauwana juu ya wanasiasa wa upuuzi kama wewe. Matakooo",
2074470717505114356,@makaumully It’s time we remind Kalonzo fanatics that the tseikuru man cannot lead Kenya anywhere. Kenya is ripe for leaders not just tribal cons. Ruto is the last tribal con to win presidency,
2075640630806769671,"Mbaba mjinga sana,..na mnasema huyu ni option?",
2074428625701478787,"On 5th July, 1969, they killed Tom Mboya; then took the Wamera Oath drinking blood naked and swearing that the Presidency shall never go to Luoland. In 1969, they massacred Luos in Kisumu and later put Jaramogi under House Arrest. In 1992, they split FORD and stopped Jaramogi Oginga Odinga’s ascendancy to presidency. In 2005, they killed Dr. Odhiambo Mbai, the Chairman of the Devolution Committee at the Bomas of Kenya. In 2007, they blocked Raila’s presidency and swore defeated Kibaki as President in the night In 2017, they killed Dr. Chris Musando, Baby Pendo and several Luos and again rigged Raila’s election to continue Uhuru Kenyatta’s tribal and corrupt rule. In 2022, they voted for Ruto to block Raila from becoming President. In 2024, they left Ruto just because he made peace with Raila and included all Kenyans including Luos in his government. They hate us. Any political arrangement we have with them only works when it is only them to benefit. We are tired of being used. We will no longer be used as if we’re second class citizens. We are equal citizens with our own independent political choices. Orengo & Babu; our people are with President Ruto. Support your in-law Gachagua to continue their domination alone.",
2077835053472555505,"Ambieni Ruto aache mafeelings za OLKALOU 😂 boat ni kitu ya kutunyanganya?😂Ama wanangojea mp mwingine akufe😂 kwanza vyenye wameita cousin yetu SIFUNA maskini juu ni mtoto wa Mwalimu kanduyi,watajua hawajui, mlima loves the oppressed #RutoMustGo #SisiNdioSifuna #BaBuKwaSababu #RekeTumanwo #CuzoForCuzo 🇰🇪",
2073937847078342672,"@LlewellynOuya THE MAIN MAJOR THUGGISH GOONS ARE PART OF THE ILLEGITIMATE GOVERNMENT IN CAHOOT WITH RETIRED GOONS FAKE ASS MAFIAS MASTERS, DEACONS CARTEL THUGS OF FOREIGN ORIGIN COLONIAL GARBAGE DOLLAR CASH WASHERS OFFSHORE ACCOUNTS HANDLERS FROM FINANCE BILL KICKBACKS SHAKAHOLA OWNERS.",
2073638950346887473,"@Dr_AustinOmondi First two coments ni kama wale wabunge wa opposition waki discuss finance bill 😂 , they know nothing 😂",
2077821568801992786,@Habiib94 Les khels leur rôle c'est de dévergonder les femmes musulmanes ok dirait toujours eux pour faire des trucs bizarre comme ça,
2074761307786563960,@therealantoh Because your naive na mko na ujinga mingi sana.mna thani juu baba ali kufa tuta kua ma slaves wenu.the only mistake sifuna has done niku pendwa na wakikuyu.shame on you.we wount be your slaves anymore kaeni na oburu wenu.!!!wata waletea 2 term then yull see what will follow,
2074501128243310816,@KenyanSays Chinese are the real untouchable cartel in Nairobi right now,
2078436104378683482,Jaluos should come here and see how expensive a Kikuyu vote is. You don't get development simply by yapping Tutam. The ballot has its own language.,
2074953217457160275,"@pksalasya Ww ni mshenzi wa huko mumias with less than 40k votes,what are you before Sifuna and what can you advise a national leader on??ww chezea huko ushago..swine!!",
2075293544747589651,@AlionyaRoseline Punda za Sifundu Nyamkundu zimekasirika vibaya sana😂😂😂 finyaaa hizo ghasia wamunyoro ass lickers.. Linda gachietha,
2077981698722062546,"@femmepov1234 @KagweNahashon @MiskellahMD @WilliamsRuto @KindikiKithure 2024 was a Kikuyu uprising against a none Kikuyu president who had started cossying up with ""jaruos"". Finance bill was just an excuse. In fact 99% them didn't read that finance bill. We aren't that dumbt mtu wangu.",
2070197041834099079,"I mentioned what I am trying to accomplish - and yesterday, IGNORANT LOW IQ INCOMPETENT CAROLINE WANGA, GENOCIDE LOW IQ SEXIST MISOGYNIST RUTO, GENOCIDE LOW IQ MISOGYNIST MATIANGI, IGNORANT GACHAGUA, KALONZO positioned an ASSET for PROPAGANDA. I played along. Never a dull moment",
2071303881812762644,@ConradKulo Miguu ya waKenya ni ya KUPIGWA RISASI. Ya Kasongo ni ya KURANDARANDA KWA TAXES ZETU.,
2070789538486653028,@Adele_lide Mnakuwanga wajinga 🤣🤣🤣 it's like CS Interior today reports to Kindiki and not Ruto......Luos are just special,
2074810970208178681,@Hii_ni_kanairo @pksalasya Sifuna hates kikuyus. 🤦‍♂️,
2076645849682035161,@Adele_lide Total chaos and madness is mulima,
2075280611275636919,"@itskipronoh hawa watrukana wawili , yule wa iebc na sasa huyu registrar wa political parties they can do anything to please kasongo",
2074325600966263215,@FGaitho237 How can one put up such a big hotel in Marurui seriously? These so called billionaires don’t pay their loans.,
2075865040775745703,"@DmkMachaa @nikirich7 @ItsChanzu Mnaogopa watawipe influ3nce ya that tribal bigot gachietha😹 in a week...io mlima watapanda, acha wapige signing moja ya ndindi mtushow poa nyi umbwa za gachietha",
2074266597699563524,"@BernardKavuli Gachagua is a pure tribalist,",
2076977122032148657,@gabrieloguda He's on point but the problem is those wamunyoro guys.,
2074496419763716480,@NelsonHavi Wewe ni malaya...hujaongea ya matiangi tge ruaraka land thief,
2073562114812219828,"@gabrieloguda In 2027 ,even if Luos demonstrate 36 hours a day, they'll not be allowed in government if this is the behavior,watakaa opposition na kasongo forever",
2078777466915639784,"@Kihoto13840421 @Kenyans In Ol-Kalau, the ignorant Kikuyus elected a man from a party led by a group of foolish crooks who have no agenda, or articulated solutions for the economic challenges Kenyans face, driven solely by tribalism. A foolish person is likely to be a tribalist, as tribalism often stems-",
2074637265083515124,"RT @Western_Wolf8: Tribalist want to sell Kalonzo as their presidential candidate. While Kenyans want Edwin Watenya Sifuna. Kikuyus on their own even with help of kambas,won't defeat William Ruto with the help of uncivilized Luos,they won't,we will watch while William Ruto massacres them from our TVs.",
2074141175628349532,@Paul_Muite Kikuyus are currently the biggest consumers of fake news because they follow a brainless donkey.,
2077872296585556094,@WHLeavitt Can we get an opposition army (not us soldiers) on the ground in there to kick the shit out of the fucking IRGC?,
2077106783101886740,@Hon_Njeri_Maina Wamunyoro will turn you into a tasteless cunt,
2076771660301050170,"@jaokojohnmark Naomba kazi aki ? Weka hao tumbako kwa shimo ya mboro wataongea kama redio ? @murkomen @DCI_Kenya hizi games mnatuchezea tutawachezea kabaya,Acheni ufala ,, let's be fair kasongo ni wantam #SisiNdiosifuna",
2075016740526813244,"Omwansa shouldn't have been in that bench, he's shallow, emotional and stupid. Nikama kukaa katikati ya machopi wawili na wewe ni dwanzii😀 #JKLive.",
2077467710628200591,@comogolla @rigathi Jaluo mjinga. Sai nyie Ni goons. Sisi watu wa Bomet tunasema Wantam!. Wamunyoro may not be the option. Mnandi arudi sugoi.,
2076658020180709846,"@0792028447jack @DrDennisOuma Mimi chakisii, kasongo is the easiest opponent to defeat, luos dont vote 😁😂😂matiangi is the 6th sijui mtafanya aje once akiwa sworn in ju we're neighbours, kisii maendeleo itakua tele na sehemu sote ke,mtapaki opposition na kales (the nilotes)",
2078682659434238407,@jeremycorbyn What about the genocide by Islamic regime in Nigeria genociding Christian’s hamas startedvit did you see what they did to start this war they took a woman from the kabutz raped her and paraded her in a truck around Gaza they beheaded peop l why don’t you blame hamas for stating,
2070591871823286775,"@Maryian96 As a blinded thick head Wamunyoro supporter, you would never get it",
2077175292821397851,@wambosue We know Kindiki is not an Okuyu and he's from Mt Kenya East that's why we support him.Our issues is only with Okuyu in Mt Kenya West not Wameru in Murima East.,
2076006126361931944,"@NjiruAdv Kikuyus can elevate Gachagua as the IEBC Chairperson. They can sing the Wantam slogan day in, day out, but President William Ruto is unstoppable. After his next swearing-in, Kikuyus can decide whether to continue with the Wantam slogan or advocate for secession. Tribalists",
2074463003412517107,@rigathi @pksalasya 😂😂mna receive hadi moles wenzenu. Sifuna is the president. It's either Sifuna or Ruto retains. We know ngahu salasya is angry that his fellow luhya is about to be president na yeye ni bangi tu.,
2074532517055513012,"@rigathi Ol kalao Tokelezea ushape roundi moja mweenda, uue hizo Nyoka na mayai Zake",
2074464195647574200,@orengo_james Nyatieng you're a Coward ConMan,
2074813109097668817,@Kenyans What a stupid old man!,
2076040983997722861,RT @Mijeledi: Katambi una laana wewe. Umekataza mikutano na CCM wenzio na jeshi lenu. Mmezui maandamano halafu CCM wanaandamana. Nyie ni wajinga na wapumbavu Dana mnafanya vitu vya kijinga sana kama wasenge,
2075442032793825543,@georgediano DCP would lose votes if they told Ol Kalau residents to reject money. You cannot separate a Kikuyu from money and expect to be friends.,
2075645107739447414,"@_KithureKindiki Yangu Iko, but nyoka na mayai yake lazima iende",
2078825262901244324,@siungugz @MainNeli_ The reason murima infrastructure is expanding is because itugati joors tax Kenyans as send all the money to central for development. Use your head. Kibaki and partially Uhuru sent central a lot of other tribe's money to develop it.,
2074200503353782473,@kipmurkomen You are the most incompetent CS. We have gangs stealing from Kenyans at will even in restaurants. Under your watch goons are thriving and reigning terror on citizens yet Gachagua lives rent free in your head like he's the problem. Wewe Bure kabisa.,
2073421148725850293,Ruaraka Land Thief....,
2074377489523097733,@Disembe anyone who is supported by luos are bound to loose or fail hata @kdfinfo knows that ask them what happened to 2007... mt kenya have the majority ..@RailaOdinga is dead 60 to 70 old luos are with @TheODMparty but @HEBabuOwino has 18 to 40year olds spilt,
2075630083696394481,DCP is an organisation created by Mt Kenya oligarchs to protect their interests. Kikuyus have realised the con. They will teach Rigathi Gachagua a lesson in Ol Kalou! Gachagua is also fighting Linda Mwananchi for reasons I will not state – gathered information about it.,
2074493020540452982,@onjolo_kenya Nani alituroga sisi wakale,
2074808762557214841,@Wambuib4sky Kikuyu women have been selling out their community since circa 1849 when Johann Ludwig Krapf and Johannes Rebmann journeyed inland and became the first Europeans to see Mount Kenya. Eloi Eloi! 🤦‍♂️🤦‍♂️,
2075991898351919369,Grow the fuck up already You white ppl #justinbieber #chrisbrown,
2075473153002815518,RT @Prof1one: @IEBCKenya and @EEEthekon are nothing but shameless kasongo harlots! #RutoMustGo,
2075392337400725728,"@Wambuib4sky This is News to me, I didn't know MURCONMEN was married to a Kuk. Anyway that's not our issue, our issue as Kenyans is Kasongo Kaongo to go home to Sugoi and make him a WANTAM WANTAM WANTAM WANTAM WANTAM WANTAM WANTAM WANTAM WANTAM WANTAM WANTAM WANTAM WANTAM WANTAM President!!",
2071166956611252735,"@WilliamsRuto The more Kasongo eats our money, grabs private and public land, abducts and kills innocent Kenyans, the more he becomes malnourished. You can't steal, abduct, kill, and grab land and live in peace. Killer Kasongo and his cocksuckers must fall! #RutoMustGo.",
