post_id,text,human_label,human_label_v1,human_dehumanisation,human_violence_call,human_ethnic_targeting,human_coded_language,human_confidence,human_rationale,translation_used,human_label_pre_adjudication,human_adjudication,pool,stratum,label,label_gemini,label_cursor,agree
2078034272934363298,"@MissKwegah1 Heri wa Kakamega, the Bungoma Bukusus of Edwin Sifuna, very easy to manipulate. Hawajielewi,even their leaders, upto now what's Sifuna looking for???",hate,offensive,False,False,True,False,high,'easy to manipulate',False,hate,,agree_hate,p_hate_top,hate,hate,hate,True
2078495428392231037,"Kenya vs Kikuyu,,,2027 election",hate,hate,False,False,True,False,high,'kenya vs kikuyu',False,hate,,agree_hate,p_hate_top,hate,hate,hate,True
2075236444029747482,"@muriaso @MrErickRicky Wamunyoro walker, a stupid tribalist.",offensive,offensive,False,False,False,False,medium,stupid tribalist,False,offensive,,split_gem_soft,p_hate_top,,offensive,hate,False
2073630067402355019,"@HusseinMohamedg Tell Murkomen @kipmurkomen we don't eat sports and stop thinking using his teeth alafu na wewe urudi kwenyu Somalia, mbwa 😠🚮🖕 #RutoMustGo",offensive,offensive,True,False,False,False,high,"The tweet is abusive and dehumanising toward the mentioned individuals, calling one 'mbwa' (dog) and directing 'urudi kwenyu Somalia' as a dismissive slur, without targeting a broader ethnic group as a collective.",False,offensive,,agree_hate,p_offensive_top,hate,hate,hate,False
2078469306052927781,"OK, but ngubu is a special category. I can tolerate a Pan-Africanist. Bantu/Kavirondo supremacists and Zoomalya irridentists are entertaining. Heck, I'd wish to have OnlyFans creators in my circle. But ngubus is a big no. Goons, cattle rustlers, blogstitutes, Tutam lambiststs etc are in the ngubu category. They are a cancer ruining the advancement of our ngubu society.",neither,neither,False,False,False,False,high,No hate or offensive speech.,False,neither,,split_gem_soft,p_hate_top,,neither,hate,False
2074462645642522751,"@orengo_james Aluta continua. The inalienable rights to life, liberty and pursuit of happiness are natural God-given gifts to each Kenyan, and the tyranny that purports to abrogate these rights must fall.",neither,neither,False,False,False,False,high,No hate or offensive speech.,False,neither,,agree_coded,nli_tail,neither,neither,neither,True
2057106695822663718,"20th May, 2026 STATEMENT BY THE DCP DEPUTY PARTY LEADER SENATOR CLEOPHAS MALALA ON ETHNIC PROFILING IN KENYA BY UDA GOVERNMENT. Dear Kenyans, 1. Over the last couple of months, we have witnessed a well-structured ethnic profiling of the members of the kikuyu community by president William Ruto. This is a well-orchestrated move ahead of the 2027 elections in what Mr. William Ruto scripted in 2007 of the 41 vs 1. We all know what that led Kenya into. We lost over 1,300 Kenyans and hundreds of thousands of Kenyans, are up to date in IDP Camps. 2. The team leader for this narrative is one Mr. Kipchumba Murkomen seconded by Mr. Omar Hassan, the UDA Secretary General and several top government officials including cabinet secretaries whom we shall name here today. 3. The Minister for Interior should be advised better, and as a lawyer, much logic is expected of him. Reducing critical security issues into an ethnic clash between a kikuyu and Kalenjin affair is bad for our Nation Mr. Murkomen. As you do your simple mind games, cattle rustling in Meru is wreaking havoc. Mandera occupied by Jubaland forces, Goons are taking control of towns. 4. Leave politics and concentrate on your job Mr. Murkomen. Secure Kenyans. As a cabinet minister for interior, it is worrying to see you on a tribal charade trying to run EPRA and the energy docket on fuel prices when Kenyans are simply on their own. 5. Secondly, Mr. Omar, the Secretary General of the wheelbarrow party, we want to remind you of your role in the 2007/08 post-election violence ICC related witness coaching against Mr. William Ruto and others. Might you have forgotten, when you served as a commissioner at the Kenya National Human Rights Commissioner, Mr. William Ruto accused you od coaching witnesses against Mr. Ruto. In his own words, Ruto said, ""I also want to inform Mr. Hassan Omar, who is the schemer, and the mercenary behind this whole scheme that that he cannot hire or rent, or buy or sell or negotiate justice and the truth..."". 6. Mr. Omar, your house of lies, as described then by William Ruto, seems to have become a shopping mall. Stop profiling Kenyans of kikuyu origin. If you think it is the people of Kikuyu descent who have a problem with this government, when the truth dawns on you and your team, it is be too late to salvage yourselves. But unfortunately, you have already messed up the country. 7. When Kenyans come out in the streets to demonstrate about high costs of fuel, mutilated payslip, dysfunctional SHA, failed education systems, it is not Kikuyu Vs Kalenjin Community Mr. Kipchumba Murkomen. It is about 55 million Kenyans suffering high taxation, double standards, bad roads, poor policy among others. 8. When Kenyans in Northern Kenya are being butchered by the Jubaland Forces, it is not Kikuyu vs Kalenjin; it is Kenyans crying because the government has failed to protect them. 9. Teachers, civil servants, and all employees and Kenyans saying NO to Mr. William Ruto are doing so because of the personal pain they are going through courtesy of one Mr. William Ruto and not the Kalenjin community. 10. If, then, we buy your opaque arguments that 55 Million Kenyans are fighting Ruto because he is a Kalenjin, we then need to argue that William Ruto is the only Kalenjin in Kenya and the 55 million of us are all Kikuyus. So, Mr. Omar Hassan, please spare us your thoughts on negative ethnicity. 11. On the high cost of fuel, it is unfortunate that Kenyans are being treated to conmanship and blatant open thuggery through the pump. As if the damage you have caused Kenya is not enough, you now want to mean it is because Ruto is a Kalenjin. 12. The government cannot purport that the high fuel cost only affects the matatu sector. Every Kenyan is affected by this insensitive fuel hike. But the good thing is, the government is digging its own political grave deeper. While addressing fuel costs, address every Kenyan, not a small pocket of transport sector.",neither,neither,False,False,False,False,high,No hate or offensive speech.,False,neither,,agree_coded,lexicon,neither,neither,neither,True
2076586226040074606,Entitled Kikuyus are supporting Noisemaker Sifuna not because they believe he can beat president Ruto but they want to use him to drag Luo's and luhyas out of government.,offensive,offensive,False,False,False,False,medium,"The tweet is offensive primarily through the contemptuous labels 'Entitled Kikuyus' and 'Noisemaker Sifuna', which express disdain and personal attack rather than rising to dehumanisation or a hate-speech level of group-targeted hostility.",False,offensive,,split_gem_soft,p_hate_top,,neither,hate,False
2070957004017774874,@dauticn @HammerHamm026 Ol Kalou is a Samburu name. These are guys who stole someone's land.,neither,neither,False,False,False,False,high,No hate or offensive speech.,False,neither,,split_gem_hard,p_hate_top,,hate,neither,False
2074123719069339773,@kipmurkomen Goons have dominated the city and you are here ranting Gachagua We ni bure kuliko chai baridi,neither,neither,False,False,False,False,high,No hate or offensive speech.,False,neither,,random_agreed,p_offensive_top,offensive,offensive,offensive,False
